Unnamed: 0,Description
749,"'If you've missed Laymon, you've missed a treat' Stephen King.In the woods are six dead trees. The Killing Trees. That's where they take them. Innocent travellers on the road in California. Seized and bound, stripped of their valuables and shackled to the Trees. To wait. In the woods. In the dark..."
750,"It's one month after a global disaster. The most ""developed"" nations of the world have fallen to the shambling zombie masses. Only a few pockets of humanity survive — in places rife with high-powered weaponry, such as Somalia. In New York City, the dead walk the streets, driven by an insatiable hunger for all things living. One amongst them is different; though he shares their appetites he has retained his human intelligence. Alone among the mindless zombies, Gary Fleck is an eyewitness to the end of the world — and perhaps the evil genius behind it all. From the other side of the planet, a small but heavily-armed group of schoolgirls-turned-soldiers has come in search of desperately needed medicine. Dekalb, a former United Nations weapons inspector, leads them as their local guide. Ayaan, a crack shot at the age of sixteen, will stop at nothing to complete her mission. They think they are prepared for anything. On Monster Island they will find that there is something worse even than being undead, as Gary learns the true price of survival."
752,"An alternate cover edition for this ISBN can be found here.NOW A MAJOR MOTION PICTURE FROM IFC MIDNIGHT, STARRING SIERRA MCCORMICK, VINESSA SHAW, AND PAT HEALY.A family on the verge of self-destruction finds themselves isolated in their bathroom during a tornado warning.Includes an introduction from Sean King O'Grady (director of the film adaptation) and a brand-new afterword from Max Booth III."
753,"The daughter of a horror film director is not afraid of anything--until she gets to Harrow Lake.Things I know about Harrow Lake: 1.It's where my father shot his most disturbing slasher film.2.There's something not right about this town.Lola Nox is the daughter of a celebrated horror filmmaker--she thinks nothing can scare her.But when her father is brutally attacked in their New York apartment, she's quickly packed off to live with a grandmother she's never met in Harrow Lake, the eerie town where her father's most iconic horror movie was shot. The locals are weirdly obsessed with the film that put their town on the map--and there are strange disappearances, which the police seem determined to explain away.And there's someone--or some thing--stalking her every move.The more Lola discovers about the town, the more terrifying it becomes. Because Lola's got secrets of her own. And if she can't find a way out of Harrow Lake, they might just be the death of her."
754,"One by one, the children of Moonlight Bay are disappearing. No one knows if they are dead or alive. Christopher Snow, suffering from the rare disorder xeroderma pigmentosum, has glimpsed the dark and torrid secrets of the small-town community where he has spent his entire life. And only he has the key to the truth - a truth that could only exist in the genetic chaos of Moonlight Bay.""Seize the Night"" is the brilliant new thriller in the Moonlight Bay trilogy, following the acclaimed bestseller ""Fear Nothing."""
755,"A newborn's absent face appears on the back of someone else's head, a filmmaker goes to gruesome lengths to achieve the silence he's after for his final scene, and a therapist begins, impossibly, to appear in a troubled patient's room late at night. In these stories of doubt, delusion, and paranoia, no belief, no claim to objectivity, is immune to the distortions of human perception. Here, self-deception is a means of justifying our most inhuman impulses--whether we know it or not."
756,"In the darkness of a vast cave system, cut off from the world for millennia, blind creatures hunt by sound. Then there is light, there are voices, and they feed... Swarming from their prison, they multiply and thrive. To scream, even to whisper, is to summon death.Deaf for many years, Ally knows how to live in silence. Now, it is her family's only chance of survival. To leave their home, to shun others, to find a remote haven where they can sit out the plague. But will it ever end? And what kind of world will be left?"
757,"A Complete Collection of Classic PoeCollected here is the ultimate Kindle edition of the complete works of Edgar Allan Poe—all of his tales and poems in one convenient, easy-to-use volume at a fantastic price.Included in Edgar Allan Poe: The Complete Tales and Poems are:The complete text of all of the tales and poems written by Edgar Allan Poe (over 125 works), each elegantly formatted for ease of use and enjoyment on your Kindle reader.Links to free, full-length audio recordings of the poems and tales in this collection.An individual, active Table of Contents for each section accessible from the Kindle “go to” feature.Perfect formatting in rich text compatible with Kindle’s Text-to-Speech features.A low, can't-say-no price!The Complete Tales and PoemsAll of Poe's tales, poems, and essays are included—over 125 works. Some of the most notable are:Tales:""The Fall of the House of Usher""""The Masque of the Red Death""""The Pit and the Pendulum""""The Premature Burial""""The Purloined Letter""""The Tell-Tale Heart""Poems:""Annabel Lee""""The Bells""""The City in the Sea""""A Dream Within a Dream""""To Helen""""Lenore""""The Raven""""Ulalume""Other Works:The Narrative of Arthur Gordon Pym of Nantucket—Poe's only complete novelCollected EssaysAdditional Fan ResourcesAlso included are special features for any Poe enthusiast, including:A list of films and television series, both directly and indirectly inspired by the works of Edgar Allan Poe.A Reading Guide to fictional works that feature the historical Edgar Allan Poe as a character.Links to free, full-length audio recordings of the major poems and short stories in this collection."
758,"McCammon's novel ""takes place during a single twenty-four hour period in Inferno, Texas. Inferno is a town in trouble, driven to the brink by racial tension, gang violence, and a collapsing economy. But things can always get worse, and they do so with astonishing speed when an unidentified spacecraft crash lands in the desert outside of town, followed by a second craft bearing the alien being who will soon be known as Stinger. Stinger is a kind of interstellar hunter on a mission he intends to complete, whatever the cost. He brings with him an endless array of technological marvels and an infinite capacity for destruction that threaten the existence of Inferno, its inhabitants, and the larger world beyond""--Dust jacket flap."
759,"What begins as a clever, gothic ghost story soon evolves into a wickedly twisted treasure hunt in The Supernatural Enhancements, Edgar Cantero's wholly original, modern-day adventure.When twentysomething A., the unexpected European relative of the Wells family, and his companion, Niamh, a mute teenage girl with shockingly dyed hair, inherit the beautiful but eerie estate of Axton House, deep in the woods of Point Bless, Virginia, it comes as a surprise to everyone—including A. himself. After all, he never even knew he had a ""second cousin, twice removed"" in America, much less that the eccentric gentleman had recently committed suicide by jumping out of the third floor bedroom window—at the same age and in the same way as his father had before him . . .Together, A. and Niamh quickly come to feel as if they have inherited much more than just a rambling home and a cushy lifestyle. Axton House is haunted, they know it, but that's just the tip of the iceberg when it comes to the secrets they slowly but surely uncover. Why all the suicides? What became of the Axton House butler who fled shortly after his master died? What lurks in the garden maze and what does the basement vault keep? And what of the rumors in town about a mysterious gathering at Axton House on the night of the winter solstice?Told vividly through a series of journal entries, scrawled notes, recovered security footage, letters to Aunt Liza, audio recordings, complicated ciphers, and even advertisements, Edgar Cantero has written a dazzling and original supernatural adventure featuring classic horror elements with a Neil Gaiman-ish twist."
760,"The gentrification of a Brooklyn neighborhood takes on a sinister new meaning…Sydney Green is Brooklyn born and raised, but her beloved neighborhood seems to change every time she blinks. Condos are sprouting like weeds, FOR SALE signs are popping up overnight, and the neighbors she’s known all her life are disappearing. To hold onto her community’s past and present, Sydney channels her frustration into a walking tour and finds an unlikely and unwanted assistant in one of the new arrivals to the block—her neighbor Theo.But Sydney and Theo’s deep dive into history quickly becomes a dizzying descent into paranoia and fear. Their neighbors may not have moved to the suburbs after all, and the push to revitalize the community may be more deadly than advertised.When does coincidence become conspiracy? Where do people go when gentrification pushes them out? Can Sydney and Theo trust each other—or themselves—long enough to find out before they too disappear?"
761,"NATURE IS CALLING—but they shouldn't have answered.Travel journalist and mountaineer Nick Grevers awakes from a coma to find that his climbing buddy, Augustin, is missing and presumed dead. Nick’s own injuries are as extensive as they are horrifying. His face wrapped in bandages and unable to speak, Nick claims amnesia—but he remembers everything.He remembers how he and Augustin were mysteriously drawn to the Maudit, a remote and scarcely documented peak in the Swiss Alps.He remembers how the slopes of Maudit were eerily quiet, and how, when they entered its valley, they got the ominous sense that they were not alone.He remembers: something was waiting for them...But it isn’t just the memory of the accident that haunts Nick. Something has awakened inside of him, something that endangers the lives of everyone around him…It’s one thing to lose your life. It’s another to lose your soul.FROM THE INTERNATIONAL BESTSELLING SENSATION THOMAS OLDE HEUVELT comes a thrilling descent into madness and obsession as one man confronts nature—and something even more ancient and evil answers back."
762,"To his mother, Joey seems an ordinary six-year-old boy - special to her, but to no one else. To the Servants of Twilight, however, he is an evil presence who must be destroyed - an Anti-Christ who must die.The terrifying ordeal for Joey and his mother begins in the supermarket car park where an old woman accosts them and pursues them with her terrible threats. Christine's world is turned into a nightmare of terror. Only her love for her child, and the support of the one man who believes her, gives her the chance to survive the Servants of Twilight...This book was originally published under the pseudonym Leigh Nichols."
763,"When your memories are stolen, what would you give to remember? Follow El and Vee as they search for answers to the questions everyone else forgot.Shudder-to-Think, Pennsylvania, is plagued by a mysterious illness that eats away at the memories of those affected by it. El and Octavia are two best friends who find themselves the newest victims of this disease after waking up in a movie theater with no memory of the past few hours.As El and Vee dive deeper into the mystery behind their lost memories, they realize the stories of their town hold more dark truth than they could've imagined. It's up to El and Vee to keep their town from falling apart...to keep the world safe from Shudder-to-Think's monsters.Collects issues # 1-6."
764,"Anita has fallen for the leader of a local pack of werewolves. She's survived a lot, but this love thing may kill her yet."
765,"They are driving home from the search party when they see her. The trees are coarse and tall in the winter light, standing like men. Lauren and her father Niall live alone in the Highlands, in a small village surrounded by pine forest. When a woman stumbles out onto the road one Halloween night, Niall drives her back to their house in his pickup. In the morning, she's gone. In a community where daughters rebel, men quietly rage, and drinking is a means of forgetting, mysteries like these are not out of the ordinary. The trapper found hanging with the dead animals for two weeks. Locked doors and stone circles. The disappearance of Lauren's mother a decade ago. Lauren looks for answers in her tarot cards, hoping she might one day be able to read her father's turbulent mind. Neighbours know more than they let on, but when local teenager Ann-Marie goes missing it's no longer clear who she can trust. In spare, haunting prose, Francine Toon creates an unshakeable atmosphere of desolation and dread. In a place that feels like the end of the world, she unites the gloom of the modern gothic with the pulse of a thriller. It is the perfect novel for our haunted times."
766,"NEW HORROR SERIES FROM THE WALKING DEAD CREATOR ROBERT KIRKMAN! Kyle Barnes has been plagued by demonic possession all his life and now he needs answers. Unfortunately, what he uncovers along the way could bring about the end of life on Earth as we know it. Collects OUTCAST BY KIRKMAN & AZACETA #1-6."
767,"As a devastating hurricane approaches, as the benighted creations of Victor Helios begin to spin out of control, as New Orleans descends into chaos and the future of humanity hangs in the balance, the only hope rests with Victor's first, failed attempt to build the perfect human. Deucalion's centuries-old history began as the original manifestation of a soulless vision - and it is fated to end in the ultimate confrontation between a damned creature and his mad creator. But first they must face a monstrosity not even Victor's malignant mind could have conceived: an indestructible entity that steps out of humankind's collective nightmare with powers, and a purpose beyond imagining."
768,"In Los Angeles, a hot Hollywood director, high on PCP, turns a city street into a fiery apocalypse. Five die. Heroic LAPD officer Jac McGarvey is badly wounded and lands in the hospital for months, uncertain he'll walk again. While he's out of commission, his wife and young son are left to defend themselves against both the criminals that control an increasingly violent city and the dead director's cult of fanatic fans.In a lonely corner of Montana, Eduardo Fernandez, the father of McGarvey's murdered partner, witnesses a strange nocturnal sight. The stand of pines outside his house suddenly glows with eerie amber light, and Fernandez senses a watcher in the winter woods. As the seasons change, the very creatures of the forest seem in league with a mysterious presence. Fernandez is caught up in a series of chilling incidents that escalate toward a confrontation that could rob him of his sanity or his life - or both.As events careen out of control, the McGarvey family is drawn to Fernandez's Montana ranch. In that isolated place they discover their destiny in a terrifying and fiercely suspenseful encounter with a hostile, utterly ruthless, and enigmatic enemy, from which neither the living nor the dead are safe."
769,"Something Dead Has Been Here...Gabe just got lost - in a pyramid. One minute, his crazy cousin Sari was right ahead of him in the pyramid tunnel. The next minute, she'd disappeared.But Gabe isn't alone. Someone else is in the pyramid, too.Someone. Or some thing.Gabe doesn't believe in the curse of the mummy's tomb. But that doesn't mean that the curse isn't real.Does it?"
770,"In Laurell K. Hamilton's ""New York Times"" bestselling novels, Anita Blake, vampire hunter and animator, takes a bite out of crime-of the supernatural kind. But even someone who deals with death on a daily basis can be unnerved by its power...  When Branson, Missouri, is hit with a death wave-four unsolved murders-it doesn't take an expert to realize that all is not well. But luckily for the locals, Anita is an expert-in just the kinds of preternatural goings-on that have everyone spooked. And she's got an ""in"" with just the kind of creature who can make sense of the slayings: a sexy master vampire known as Jean Claude."
771,"A haunting collection of short stories from Koji Suzuki, author of the smash thriller, Ring, which spawned the hit film and sequels. The first story in this collection has been adapted to film (Dark Water, Walter Salles), and another, ""Adrift"" is currently in production with Dimension Films."
772,"A chilling and blisteringly relevant literary novel of social horror centered around a brutal killing that takes place in a full-contact haunted escape room—a provocative exploration of capitalism, hate politics, racial fetishism, and our obsession with fear as entertainment. On April 27, 1997, four contestants make it to the final cell of the Quigley House, a full-contact haunted escape room in Lincoln, Nebraska, made famous for its monstrosities, booby-traps, and ghoulishly costumed actors. If the group can endure these horrors without shouting the safe word, “reprieve,” they’ll win a substantial cash prize—a startling feat accomplished only by one other group in the house’s long history. But before they can complete the challenge, a man breaks into the cell and kills one of the contestants.Those who were present on that fateful night lend their points of view: Kendra Brown, a teenager who’s been uprooted from her childhood home after the sudden loss of her father; Leonard Grandton, a desperate and impressionable hotel manager caught in a series of toxic entanglements; and Jaidee Charoensuk, a gay international student who came to the United States in a besotted search for his former English teacher. As each character’s journey unfurls and overlaps, deceit and misunderstandings fueled by obsession and prejudice are revealed, forcing all to reckon with the ways in which their beliefs and actions contributed to a horrifying catastrophe.An astonishingly soulful exploration of complicity and masquerade, Reprieve combines the psychological tension of classic horror with searing social criticism to present an unsettling portrait of this tangled American life."
773,"Dark Horse presents new editions of the entire Hellboy line with new covers, beginning with Seed of Destruction, the basis of director Guillermo del Toro's blockbuster films. Hellboy is one of the most celebrated comics series in recent years. The ultimate artists' artist and a great storyteller whose work is in turns haunting, hilarious, and spellbinding. Mike Mignola has won numerous awards in the comics industry and beyond. When strangeness threatens to engulf the world, a strange man will come to save it. Sent to investigate a mystery with supernatural overtones, Hellboy discovers the secrets of his own origins, and his link to the Nazi occultists who promised Hitler a final solution in the form of a demonic avatar."" ... Hellboy is a brilliant example of how to elevate the comic of the future to a higher literary level while achieving a higher pitch of excitement."" --Robert Bloch, from his introduction"
774,"In this most gothic of Robert McCammon's novels, setting is key: the continuing saga of the Usher family (descended from the brother of Roderick and Madeline of Edgar Poe's ""Fall of the House of Usher"") takes place in the weird and picturesque heart of the North Carolina mountains. The haughty, aristocratic Ushers live in a mansion near Asheville; the poor but crafty mountain folk (whose families are just as ancient) live on Briartop Mountain nearby. At harvest time, when the book's action unfolds, the mountains are a blaze of color. Add to the mixture a sinister history of mountain kids disappearing every year, a journalist investigating those disappearances, a monster called ""The Pumpkin Man,"" moldy books and paintings in a huge old library at the Usher estate, and a secret chamber with a strange device involving a brass pendulum and tuning forks--and you've got a splendid recipe for atmospheric horror.Originally published: New York: Holt, Rinehart, and Winston, 1984."
775,"Ten thousand years ago, Morpheus condemned a woman who loved him to Hell. Now the other members of his immortal family, The Endless, have convinced the Dream King that this was an injustice. To make it right, Morpheus must return to Hell to rescue his banished love -- and Hell's ruler, the fallen angel Lucifer, has already sworn to destroy him.Collects THE SANDMAN #21-28."
776,"Rick discovers that there are communities of survivors nearby, and begins to explore a larger world. Reprinting issues #91-96 of the Eisner Award-winning series, The Walking Dead."
780,"The third book in the Necroscope series traces the battle between Harry Keogh and the horrifying Vamphyri on their home ground, an alien landscape of looming towers, impossible cliffs, and ravenous vampire-beasts.Russia's Ural Mountains hide a deadly secret: a supernatural portal to the country of the vampires. Soviet scientists and ESP-powered spies, in a secret military base, study the portal--and the powerfully evil creatures that emerge from it, intent on ravaging mankind.When Jazz Simmons, a British agent sent to infiltrate the base, is captured by the KGB espionage squad and forced through the portal, his last message tells Harry Keogh, the Necroscope, that the vampires are preparing for a mass invasion.Harry has only one option--to strike first. He must carry the human-vampire war to the vampire's own lands. But his strongest psychic power will be useless there. What good is the power to summon the dead in a country where nothing ever dies, where every man, woman, and child become half-dead servants of the Vamphyri?"
781,"KOKO. Only four men knew what it meant. Now they must stop it. They are Vietnam vets a doctor, a lawyer, a working stiff, and a writer. Very different from each other, they are nonetheless linked by a shared history and a single shattering secret. Now, they have been reunited and are about to embark on a quest that will take them from Washington, D.C., to the graveyards and fleshpots of the Far East to the human jungle of New York, hunting someone from the past who has risen from the darkness to kill and kill and kill."
782,"Charlie Jordan is being driven across the country by a serial killer. Maybe.Behind the wheel is Josh Baxter, a stranger Charlie met by the college ride share board, who also has a good reason for leaving university in the middle of term. On the road they share their stories, carefully avoiding the subject dominating the news - the Campus Killer, who's tied up and stabbed three students in the span of a year, has just struck again.Travelling the lengthy journey between university and their final destination, Charlie begins to notice discrepancies in Josh's story.As she begins to plan her escape from the man she is becoming certain is the killer, she starts to suspect that Josh knows exactly what she's thinking.Meaning that she could very well end up as his next victim."
783,A mind-bending supernatural thriller from the creators of This Present Darkness and Saint.Frank Peretti and Ted Dekker -- two of the most acclaimed writers of supernatural thrillers -- have joined forces for the first time to craft a story unlike any you've ever read. Enter House -- where you'll find yourself thrown into a killer's deadly game in which the only way to win is to lose... and the only way out is in.The stakes of the game become clear when a tin can is tossed into the house with rules scrawled on it. Rules that only a madman—or worse—could have written. Rules that make no sense yet must be followed.One game. Seven players. Three rules. Game ends at dawn.
784,"Shana wakes up one morning to discover her little sister in the grip of a strange malady. She appears to be sleepwalking. She cannot talk and cannot be woken up. And she is heading with inexorable determination to a destination that only she knows. But Shana and her sister are not alone. Soon they are joined by a flock of sleepwalkers from across America, on the same mysterious journey. And like Shana, there are other ""shepherds"" who follow the flock to protect their friends and family on the long dark road ahead.For as the sleepwalking phenomenon awakens terror and violence in America, the real danger may not be the epidemic but the fear of it. With society collapsing all around them--and an ultraviolent militia threatening to exterminate them--the fate of the sleepwalkers depends on unraveling the mystery behind the epidemic. The terrifying secret will either tear the nation apart--or bring the survivors together to remake a shattered world."
785,"The Face. As Hollywood's most dazzling star, he has the love of millions - but the hatred of one deeply twisted soul. Just before Christmas, the star has received six messages promising a very nasty surprise.The Face's security chief is Ethan Truman, an ex-cop with a troubled past. He's found the messenger but not the source of the threat, and he's worried. But not half as worried as he would be if he knew that Fric, The Face's ten-year-old son, was home alone and getting calls from ""Moloch, devourer of children."" The terrified boy is planning to go into hiding in his father's vast mansion - putting himself beyond Ethan's protection.And Ethan may be all that stands between Fric and an almost unimaginable evil..."
786,"A heart-pounding tale of faith and family, with a devastating twist“A great day is upon us. He is coming. The world will be washed away.”On the wind-battered isle of Altnaharra, off the wildest coast of Scotland, a clan prepares to bring about the end of the world and its imminent rebirth.The Adder is coming and one of their number will inherit its powers. They all want the honor, but young Eve is willing to do anything for the distinction.A reckoning beyond Eve’s imagination begins when Chief Inspector Black arrives to investigate a brutal murder and their sacred ceremony goes terribly wrong.And soon all the secrets of Altnaharra will be uncovered."
787,"This is Oscar Wilde's tale of the American family moved into a British mansion, Canterville Chase, much to the annoyance of its tired ghost. The family -- which refuses to believe in him -- is in Wilde's way a commentary on the British nobility of the day -- and on the Americans, too. The tale, like many of Wilde's, is rich with allusion, but ends as sentimental romance..."
788,"The Dream-Quest of Unknown Kadath is a novella by H. P. Lovecraft (1890–1937) published by Arkham House posthumously in 1943 in the collection Beyond the Wall of Sleep. Begun probably in the autumn of 1926, it was completed on January 22, 1927 and was unpublished in his lifetime. It is both the longest of the stories that make up his Dream Cycle and the longest Lovecraft work to feature protagonist Randolph Carter. Along with his 1927 novel The Case of Charles Dexter Ward, it can be considered one of the significant achievements of that period of Lovecraft's writing. The Dream-Quest combines elements of horror and fantasy into an epic tale that illustrates the scope and wonder of humankind's ability to dream.The dream-quest of unknown Kadath --Celephais --The silver key --Through the gates of the silver key --The white ship --The strange high house in the mist"
789,"Carol Evers is a woman with a dark secret. She has died many times . . . but her many deaths are not final: They are comas, a waking slumber indistinguishable from death, each lasting days.Only two people know of Carol’s eerie condition. One is her husband, Dwight, who married Carol for her fortune, and—when she lapses into another coma—plots to seize it by proclaiming her dead and quickly burying her . . . alive. The other is her lost love, the infamous outlaw James Moxie. When word of Carol’s dreadful fate reaches him, Moxie rides the Trail again to save his beloved from an early, unnatural grave.And all the while, awake and aware, Carol fights to free herself from the crippling darkness that binds her—summoning her own fierce will to survive. As the players in this drama of life and death fight to decide her fate, Carol must in the end battle to save herself."
790,"From the New York Times bestselling author of The Stolen Child comes a hypnotic literary horror novel about a young boy trapped inside his own world, whose drawings blur the lines between fantasy and reality.Ever since he nearly drowned in the ocean three years earlier, ten-year-old Jack Peter Keenan has been deathly afraid to venture outdoors. Refusing to leave his home in a small coastal town in Maine, Jack Peter spends his time drawing monsters. When those drawings take on a life of their own, no one is safe from the terror they inspire. His mother, Holly, begins to hear strange sounds in the night coming from the ocean, and she seeks answers from the local Catholic priest and his Japanese housekeeper, who fill her head with stories of shipwrecks and ghosts. His father, Tim, wanders the beach, frantically searching for a strange apparition running wild in the dunes. And the boy’s only friend, Nick, becomes helplessly entangled in the eerie power of the drawings. While those around Jack Peter are haunted by what they think they see, only he knows the truth behind the frightful occurrences as the outside world encroaches upon them all.In the tradition of The Turn of the Screw, Keith Donohue’s The Boy Who Drew Monsters is a mesmerizing tale of psychological terror and imagination run wild, a perfectly creepy read for a dark night."
791,"Gabry lives a quiet life. As safe a life as is possible in a town trapped between a forest and the ocean, in a world teeming with the dead, who constantly hunger for those still living. She's content on her side of the Barrier, happy to let her friends dream of the Dark City up the coast while she watches from the top of her lighthouse. But there are threats the Barrier cannot hold back. Threats like the secrets Gabry's mother thought she left behind when she escaped from the Sisterhood and the Forest of Hands and Teeth. Like the cult of religious zealots who worship the dead. Like the stranger from the forest who seems to know Gabry. And suddenly, everything is changing. One reckless moment, and half of Gabry's generation is dead, the other half imprisoned. Now Gabry only knows one thing: she must face the forest of her mother's past in order to save herself and the one she loves."
792,"The other orphans say Margot is lucky. Lucky to survive the horrible accident that killed her family. Lucky to have her own room because she wakes up screaming every night. And finally, lucky to be chosen by a prestigious family to live at their remote country estate. But it wasn't luck that made the Suttons rescue Margot from her bleak existence at the group home. Margot was hand-picked to be a companion to their silent, mysterious daughter, Agatha. At first, helping with Agatha - and getting to know her handsome older brother - seems much better than the group home. But soon, the isolated, gothic house begins playing tricks on Margot’s mind, making her question everything she believes about the Suttons... and herself.  Margot’s bad dreams may have stopped when she came to live with Agatha – but the real nightmare has just begun."
793,"
  A dark, unflinching haunted house novel that takes readers from the well of the literary gothic, up through Brighton’s queer scene, and out into the heart of modern day trans experience in the UK.
The House spreads. Its arteries run throughout the country. Its lifeblood flows into Westminster, into Scotland Yard, into every village and every city. It flows into you, and into your mother. It keeps you alive. It makes you feel safe. Those same arteries tangle you up and night and make it hard for you to breathe. But come morning, you thank it for what it has done for you, and you sip from its golden cup, and kiss its perfect feet, and you know that all will be right in this godforsaken world as long as it is there to watch over you.Three years ago, Alice spent one night in an abandoned house with her friends Ila and Hannah. Since then, things have not been going well. Alice is living a haunted existence, selling videos of herself cleaning for money, going to parties she hates, drinking herself to sleep. She hasn’t spoken to Ila since they went into the House. She hasn’t seen Hannah either. Memories of that night torment her mind and her flesh, but when Ila asks her to return to the House, past the KEEP OUT sign, over the sick earth where teenagers dare each other to venture, she knows she must go. Together Alice and Ila must face the horrifying occurrences that happened there, must pull themselves apart from the inside out, put their differences aside, and try to rescue Hannah, who the House has chosen to make its own. Cutting, disruptive, and darkly funny, Tell Me I’m Worthless is a vital work of trans fiction that confronts both supernatural and real-world horrors as it examines the devastating effects of trauma and the way fascism makes us destroy ourselves and each other."
794,"In this haunting, fast-paced sequel to the New York Times bestselling photo-illustrated novel Asylum, three teens must unlock some long-buried secrets from the past before the past comes back to get them first. Featuring found photographs, many from real vintage carnivals, Sanctum is a mind-bending reading experience that blurs the lines between past and present, genius and insanity, perfect for fans of the smash hit Miss Peregrine's Home for Peculiar Children.Dan, Abby, and Jordan remain traumatized by the summer they shared in the Brookline asylum. Much as they'd love to move on, someone is determined to keep the terror alive, sending the teens photos of an old-timey carnival, with no note and no name. Forsaking their plan never to go back, the teens return to New Hampshire College under the guise of a weekend for prospective students, and there they realize that the carnival from the photos is not only real, it's here on campus, apparently for the first time in many years.Sneaking away from sample classes and college parties, Dan and his friends lead a tour of their own—one through the abandoned houses and hidden places of the surrounding town. Camford is hiding a terrible past, and the influence of the asylum runs deeper than Dan ever imagined."
795,"Anya could really use a friend. But her new BFF isn't kidding about the ""Forever"" part.Of all the things Anya expected to find at the bottom of an old well, a new friend was not one of them. Especially not a new friend who’s been dead for a century.Falling down a well is bad enough, but Anya's normal life might actually be worse. She's embarrassed by her family, self-conscious about her body, and she's pretty much given up on fitting in at school. A new friend—even a ghost—is just what she needs.Or so she thinks. Spooky, sardonic, and secretly sincere, Anya's Ghost is a wonderfully entertaining debut from author/artist Vera Brosgol."
796,"A psychological and supernatural twist on the horrors of the Japanese American internment camps in World War II.1944: As World War II rages on, the threat has come to the home front. In a remote corner of Idaho, Meiko Briggs and her daughter, Aiko, are desperate to return home. Following Meiko's husband's enlistment as an air force pilot in the Pacific months prior, Meiko and Aiko were taken from their home in Seattle and sent to one of the internment camps in the West. It didn’t matter that Aiko was American-born: They were Japanese, and therefore considered a threat by the American government. Mother and daughter attempt to hold on to elements of their old life in the camp when a mysterious disease begins to spread among those interned. What starts as a minor cold quickly becomes spontaneous fits of violence and aggression, even death. And when a disconcerting team of doctors arrive, nearly more threatening than the illness itself, Meiko and her daughter team up with a newspaper reporter and widowed missionary to investigate, and it becomes clear to them that something more sinister is afoot, a demon from the stories of Meiko’s childhood, hell-bent on infiltrating their already strange world.  Inspired by the Japanese yokai and the jorogumo spider demon, The Fervor explores a supernatural threat beyond what anyone saw coming; the danger of demonization, a mysterious contagion, and the search to stop its spread before it’s too late."
797,"You're cordially invited to dinner. Penthouse access is available via the broken freight elevator. Black tie optional.A dinner party is held in the penthouse of a multimillion-pound development. All the guests are strangers - even to their host, the billionaire owner of the building. None of them know why they were selected to receive his invitation. Whether privileged or deprived, besides a postcode, they share only one thing in common - they've all experienced a shocking disturbance within the building's walls.By the end of the night, their host is dead, and none of the guests ever said what happened. His death remains one of the biggest unsolved mysteries - until now.But are you ready for their stories?Jonathan Sims' debut is a darkly twisted, genre-bending journey through one of the most innovative haunted houses you'll ever dare to enter."
798,"A chilling fantasy retelling of the Snow White fairy tale by bestselling creators Neil Gaiman and Colleen Doran.A not-so-evil queen is terrified of her monstrous stepdaughter and determined to repel this creature and save her kingdom from a world where happy endings aren't so happily ever after.From the Hugo, Bram Stoker, Locus, World Fantasy, Nebula Award-winning and Sunday Times-bestselling writer Neil Gaiman (American Gods) comes this graphic novel adaptation by Colleen Doran (Troll Bridge)."
799,"Supernatural fantasy has a new antihero in Sandman Slim, star of this gripping, gritty new series by Richard Kadrey.Life sucks and then you die. Or, if you’re James Stark, you spend eleven years in Hell as a hitman before finally escaping, only to land back in the hell-on-earth that is Los Angeles.Now Stark’s back, and ready for revenge. And absolution, and maybe even love. But when his first stop saddles him with an abusive talking head, Stark discovers that the road to absolution and revenge is much longer than you’d expect, and both Heaven and Hell have their own ideas for his future.Resurrection sucks. Saving the world is worse.Darkly twisted, irreverent, and completely hilarious, Sandman Slim is the breakthrough novel by an acclaimed author."
800,"On the borderland between this world and the world of Quiddity, the sea of our dreams, sits Everville. For years, it has lived in ignorance of the gleaming shore on which it lies. But its ignorance is not bliss. Opening the door between worlds, Clive Barker delivers his characters into the heart of the human mystery; into a place of revelation, where the forces which have shaped our past(and are ready to destroy our future) are at work."
801,"In the tradition of Mira Grant and Stephen Graham Jones, Malcolm Devlin’s And Then I Woke Up is a creepy, layered, literary story about false narratives and their ability to divide us.In a world reeling from an unusual plague, monsters lurk in the streets while terrified survivors arm themselves and roam the countryside in packs. Or perhaps something very different is happening. When a disease affects how reality is perceived, it’s hard to be certain of anything…Spence is one of the “cured” living at the Ironside rehabilitation facility. Haunted by guilt, he refuses to face the changed world until a new inmate challenges him to help her find her old crew. But if he can’t tell the truth from the lies, how will he know if he has earned the redemption he dreams of? How will he know he hasn’t just made things worse?"
802,"When Rupert Conway set out on a cruise with seven other people, he planned to swim a little, get some sun and relax. He certainly didn't plan to get shipwrecked. But after the yacht blew up, that's what happened - he and his shipmates were stranded on a deserted island. Luckily for them, the island has plenty of fresh water and enough food to last until they get rescued. And luckily for Rupert, most of his fellow castaways are attractive women.But that's where his luck ran out - because the castaways aren't alone on the island. In the dense jungle beyond the beach there's a maniac on the loose, a killer with a murderous heart, a clever mind and a a taste for blood. He doesn't like his new neightbors and he plans to slaughter them all...one by one."
803,"A disturbing new vision of terror from the author of Things Have Gotten Worse Since We Last Spoke.""Each precious thing I show you in this book is a holy relic from the night we both perished-the night when I combed you from my hair and watered the moon with your blood.You've lost a lot of blood . . ."""
