,Title,Author,Author Average Rating,Author Votes,Author Review Count,Distinct Works,Year,Rating,Raters,Genres,worth_reading
698,Cosmos (Mass Market Paperback),Carl Sagan,4.25,"466,985","16,798",96,1980,4.38,136951,"Science,Nonfiction,Science,Science,History,Space,Philosophy,Classics,Science,Audiobook",yes
699,"The Kiss of Deception (The Remnant Chronicles, #1)",Mary E. Pearson,4.07,"428,090","47,730",35,2014,3.96,118258,"Fantasy,Young Adult,Romance,Young Adult,Fiction,Fantasy,Fantasy,Adventure,Audiobook,Romance",yes
700,White Fragility: Why It’s So Hard for White People to Talk About Racism (Audiobook),Robin DiAngelo,4.21,"180,687","21,468",15,2018,4.19,151337,"Nonfiction,Race,Social Movements,Race,Audiobook,Politics,Sociology,History,Psychology,Adult",yes
701,Drive: The Surprising Truth About What Motivates Us (Hardcover),Daniel H. Pink,3.91,"201,754","12,363",116,2009,3.95,111970,"Nonfiction,Business,Psychology,Leadership,Self Help,Self Help,Business,Education,Productivity,Science",yes
702,"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,4.12,"651,374","88,754",10,2021,4.15,71774,"Fantasy,Romance,Young Adult,Young Adult,Fiction,Fantasy,Romance,Audiobook,Paranormal,Fantasy",yes
703,"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,4.18,"2,310,183","85,786","6,786",1887,4.14,402354,"Classics,Mystery,Fiction,Mystery,Mystery,Thriller,Audiobook,Historical,Thriller,Literature",yes
704,"Nevernight (The Nevernight Chronicle, #1)",Jay Kristoff,4.28,"617,617","114,174",30,2016,4.23,81480,"Fantasy,Young Adult,Fiction,Adult,Fantasy,New Adult,Romance,Audiobook,Fantasy,Young Adult",yes
705,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,4.36,"8,085,813","673,367",87,2015,4.56,430929,"Fantasy,Young Adult,Romance,Fantasy,Fairies,Fiction,Young Adult,New Adult,Fantasy,Fantasy",yes
706,Five Feet Apart (ebook),Rachael Lippincott,4.16,"238,450","26,462",8,2018,4.2,180896,"Romance,Young Adult,Contemporary,Fiction,Audiobook,Realistic Fiction,Young Adult,Young Adult,Young Adult,Romance",yes
707,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.37,"6,423,152","220,105","1,121",2000,4.54,730258,"Fantasy,Fiction,Fantasy,Science Fiction Fantasy,Fantasy,Adult,Adventure,Audiobook,Fantasy,Epic",yes
708,"The Blade Itself (The First Law, #1)",Joe Abercrombie,4.24,"931,962","58,587",91,2006,4.19,209433,"Fantasy,Fiction,Fantasy,Fantasy,Adult,Fantasy,Audiobook,Adventure,Science Fiction Fantasy,Fantasy",yes
709,"Firefly Lane (Firefly Lane, #1)",Kristin Hannah,4.31,"3,556,497","296,620",82,2008,4.14,327290,"Fiction,Womens Fiction,Romance,Contemporary,Historical,Audiobook,Adult,Adult Fiction,Drama,Womens Fiction",yes
710,Lock Every Door (ebook),Riley Sager,3.87,"711,740","95,191",10,2019,3.91,148254,"Thriller,Mystery,Thriller,Fiction,Horror,Audiobook,Adult,Suspense,Contemporary,Adult Fiction",yes
711,"The Bride Test (The Kiss Quotient, #2)",Helen Hoang,3.93,"572,826","69,395",7,2019,3.86,136386,"Romance,Contemporary,Fiction,Romance,Adult,Audiobook,Womens Fiction,Adult Fiction,New Adult,Neurodiversity",yes
712,"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,4.21,"2,589,882","270,016",56,2013,4.26,381576,"Fantasy,Young Adult,Science Fiction,Romance,Science Fiction,Retellings,Fiction,Fantasy,Audiobook,Young Adult",yes
713,David Copperfield (Paperback),Charles Dickens,3.91,"3,609,551","121,946","5,782",1850,4.02,220977,"Classics,Fiction,Literature,Historical,Literature,Novels,European Literature,Historical,Classics,Audiobook",yes
714,The Sound and the Fury (Paperback),William Faulkner,3.84,"564,338","31,926",573,1929,3.86,172520,"Classics,Fiction,Literature,Novels,Literature,Literature,Gothic,Literary Fiction,Academic,American",yes
715,Writers & Lovers (Hardcover),Lily King,3.94,"223,509","26,214",14,2020,4.05,111960,"Fiction,Contemporary,Romance,Literary Fiction,Audiobook,Adult,Adult Fiction,Novels,Language,Writing",yes
716,The Once and Future Witches (Hardcover),Alix E. Harrow,4.01,"203,837","33,510",39,2020,4.06,62464,"Fantasy,Historical,Fiction,Paranormal,Historical,Fantasy,Adult,Fantasy,Audiobook,LGBT",yes
717,Treasure Island (Hardcover),Robert Louis Stevenson,3.85,"1,327,370","50,116","3,473",1883,3.84,455868,"Classics,Fiction,Adventure,Historical,Young Adult,Childrens,Adventure,Literature,Fantasy,Novels",yes
718,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened (Paperback)",Allie Brosh,4.17,"231,021","18,751",3,2013,4.16,198323,"Humor,Nonfiction,Sequential Art,Autobiography,Sequential Art,Humor,Biography,Health,Adult,Short Stories",yes
719,"Doctor Sleep (The Shining, #2)",Stephen King,4.06,"17,485,061","775,865","1,886",2013,4.12,235821,"Horror,Fiction,Thriller,Fantasy,Fantasy,Audiobook,Fantasy,Mystery,Suspense,Adult",yes
720,Our Missing Hearts (Hardcover),Celeste Ng,4.01,"1,539,049","115,897",14,2022,3.9,37968,"Fiction,Science Fiction,Contemporary,Audiobook,Literary Fiction,Science Fiction,Adult,Adult Fiction,Mystery,Thriller",yes
721,"Unravel Me (Shatter Me, #2)",Tahereh Mafi,4.09,"2,005,157","210,817",35,2013,4.18,334148,"Science Fiction,Young Adult,Fantasy,Romance,Science Fiction,Fantasy,Fiction,Young Adult,New Adult,Audiobook",yes
722,The Fountainhead (Mass Market Paperback),Ayn Rand,3.76,"924,539","48,010",210,1943,3.88,313167,"Fiction,Classics,Philosophy,Literature,Novels,Politics,Architecture,Literary Fiction,Literature,Classics",yes
723,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,3.74,"378,361","20,932",102,1958,3.72,338897,"Fiction,Classics,Historical,Cultural,Academic,Literature,Novels,Academic,Western Africa,Historical",yes
724,Notre-Dame de Paris | The Hunchback of Notre-Dame (Paperback),Victor Hugo,4.15,"1,056,468","34,645","2,259",1831,4.01,189479,"Classics,Fiction,Historical,Cultural,Literature,European Literature,Gothic,Historical,Romance,Novels",yes
725,Flow: The Psychology of Optimal Experience (Paperback),Mihaly Csikszentmihalyi,4.08,"86,690","4,802",55,1990,4.1,72136,"Psychology,Nonfiction,Self Help,Self Help,Productivity,Business,Science,Philosophy,Leadership,Design",yes
726,Alone With You in the Ether (Hardcover),Olivie Blake,3.84,"135,748","27,471",22,2020,4.15,23249,"Romance,Fiction,Contemporary,Adult,Literary Fiction,Romance,Health,Fantasy,Adult Fiction,Novels",yes
727,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,3.78,"226,465","10,317",11,1974,3.78,219463,"Philosophy,Fiction,Classics,Spirituality,Travel,Psychology,Self Help,Literature,Unfinished,Religion",yes
728,The Art of Racing in the Rain (Hardcover),Garth Stein,4.2,"522,317","45,948",19,2008,4.22,492276,"Fiction,Animals,Contemporary,Animals,Audiobook,Adult Fiction,Adult,Book Club,Novels,Family",yes
729,Inferno (Paperback),Dante Alighieri,4.03,"370,135","15,060",919,1320,4.01,165454,"Classics,Poetry,Fiction,Literature,Religion,Fantasy,Academic,Philosophy,European Literature,Historical",yes
730,Bad Feminist (Paperback),Roxane Gay,4.06,"303,088","35,484",123,2014,3.94,104892,"Nonfiction,Feminism,Writing,Autobiography,Audiobook,Womens,Race,Politics,Social Movements,Gender",yes
731,"House of Sky and Breath (Crescent City, #2)",Sarah J. Maas,4.36,"8,085,813","673,367",87,2022,4.52,172635,"Fantasy,Romance,Adult,Fairies,Fantasy,New Adult,Fiction,Romance,Fantasy,Fantasy",yes
732,Snow Crash (Kindle Edition),Neal Stephenson,4.04,"917,348","58,921",94,1992,4.03,263375,"Science Fiction,Fiction,Science Fiction,Fantasy,Science Fiction Fantasy,Science Fiction,Novels,Speculative Fiction,Audiobook,Classics",yes
733,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,4.36,"8,085,813","673,367",87,2013,4.36,577811,"Fantasy,Young Adult,Romance,Fantasy,Fiction,Young Adult,Fantasy,Fairies,New Adult,Adventure",yes
734,"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.1)",Sarah J. Maas,4.36,"8,085,813","673,367",87,2018,3.8,474816,"Fantasy,Romance,Young Adult,New Adult,Fairies,Fiction,Romance,Fantasy,Young Adult,Novella",yes
735,Sophie's World (Paperback),Jostein Gaarder,3.93,"342,393","22,451",47,1991,3.96,240109,"Philosophy,Fiction,Classics,Young Adult,Novels,Fantasy,Literature,Contemporary,Unfinished,European Literature",yes
736,The Radium Girls: The Dark Story of America's Shining Women (Hardcover),Kate  Moore,4.17,"139,821","18,891",6,2017,4.14,121203,"Nonfiction,History,Science,Audiobook,Biography,Historical,Feminism,Adult,Womens,North American Hi...",yes
737,"Holes (Holes, #1)",Louis Sachar,4.0,"1,411,987","38,940",77,1998,3.99,1115625,"Young Adult,Fiction,Childrens,Childrens,Classics,Realistic Fiction,Academic,Mystery,Adventure,Contemporary",yes
738,"Glass Sword (Red Queen, #2)",Victoria Aveyard,3.94,"1,634,737","124,980",24,2016,3.82,302790,"Fantasy,Young Adult,Science Fiction,Romance,Fiction,Young Adult,Audiobook,Fantasy,Science Fiction,Fantasy",yes
739,"Cemetery Boys (Cemetery Boys, #1)",Aiden Thomas,4.24,"83,955","18,133",8,2020,4.32,68102,"Fantasy,LGBT,Young Adult,Romance,LGBT,Fiction,Fantasy,Contemporary,Fantasy,Audiobook",yes
740,Snow Flower and the Secret Fan (Kindle Edition),Lisa See,4.04,"858,490","67,446",20,2005,4.08,361038,"Historical,Fiction,Cultural,Historical,Cultural,Book Club,Adult,Literature,Adult Fiction,Novels",yes
741,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,3.95,"1,523,259","48,539",141,2001,3.86,532837,"Fantasy,Young Adult,Fiction,Childrens,Childrens,Science Fiction,Adventure,Fantasy,Fantasy,Audiobook",yes
743,"A Great and Terrible Beauty (Gemma Doyle, #1)",Libba Bray,3.85,"706,186","64,013",41,2003,3.79,218725,"Fantasy,Young Adult,Historical,Fiction,Historical,Fantasy,Romance,Fantasy,Young Adult,Young Adult",yes
744,A Woman Is No Man (Hardcover),Etaf Rum,4.26,"123,789","13,655",2,2019,4.26,123783,"Fiction,Historical,Contemporary,Audiobook,Feminism,Literary Fiction,Adult,Adult Fiction,Historical,Book Club",yes
745,There There (Hardcover),Tommy Orange,3.98,"156,435","18,528",12,2018,3.99,155827,"Fiction,Contemporary,Literary Fiction,Audiobook,Adult,Novels,Adult Fiction,Race,Book Club,Literature",yes
746,"What If It's Us (What If It's Us, #1)",Becky Albertalli,4.04,"728,898","85,475",15,2018,3.85,126141,"Romance,Young Adult,LGBT,Contemporary,LGBT,Fiction,Audiobook,LGBT,Realistic Fiction,Young Adult",yes
747,Wrong Place Wrong Time (Hardcover),Gillian McAllister,4.04,"98,375","11,139",11,2022,4.11,68144,"Thriller,Mystery,Fiction,Thriller,Audiobook,Science Fiction,Suspense,Science Fiction,Mystery,Adult",yes
748,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.34,"11,197,573","446,248",278,2008,4.41,939216,"Fantasy,Young Adult,Fantasy,Fiction,Childrens,Adventure,Mythology,Childrens,Fantasy,Fantasy",yes
749,You've Reached Sam (Hardcover),Dustin Thao,3.74,"63,188","13,048",2,2021,3.74,63140,"Romance,Contemporary,Young Adult,Fantasy,Fiction,Magical Realism,Audiobook,Romance,Young Adult,Fantasy",yes
750,From Lukov with Love (Paperback),Mariana Zapata,4.2,"901,968","100,953",15,2018,4.32,162151,"Romance,Contemporary,Contemporary Romance,Sports,Romance,New Adult,Adult,Fiction,Audiobook,Humor",yes
751,The Age of Innocence (Paperback),Edith Wharton,3.79,"479,694","31,904","1,134",1920,3.96,159857,"Classics,Fiction,Historical,Romance,Literature,Literature,Novels,Historical,New York,Literature",yes
752,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,4.29,"989,780","60,186",68,2011,4.29,229969,"Science Fiction,Fiction,Space,Space,Audiobook,Science Fiction Fantasy,Fantasy,Mystery,Horror,Adult",yes
753,Being Mortal: Medicine and What Matters in the End (Hardcover),Atul Gawande,4.33,"307,997","29,215",28,2014,4.47,166951,"Nonfiction,Health,Science,Health,Medical,Philosophy,Audiobook,Death,Psychology,Autobiography",yes
754,This Is How It Always Is (Kindle Edition),Laurie Frankel,4.21,"193,699","20,316",7,2017,4.28,164396,"Fiction,LGBT,Contemporary,Audiobook,Adult,Book Club,Family,Adult Fiction,LGBT,Literary Fiction",yes
755,The Silmarillion (Hardcover),J.R.R. Tolkien,4.35,"10,073,709","175,264",512,1977,3.98,259164,"Fantasy,Fiction,Classics,Fantasy,Science Fiction Fantasy,Fantasy,Fantasy,Literature,Adventure,Novels",yes
756,We Were the Lucky Ones (Hardcover),Georgia Hunter,4.4,"130,727","10,666",4,2017,4.4,130724,"Historical,Fiction,War,Historical,World War II,War,Audiobook,Adult,Adult Fiction,Family",yes
757,"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss,4.25,"3,632,867","64,723",416,1957,4.18,504459,"Childrens,Childrens,Classics,Fiction,Poetry,Fantasy,Humor,Animals,Kids,Animals",yes
758,'Salem's Lot (Paperback),Stephen King,4.06,"17,485,061","775,865","1,886",1975,4.05,404474,"Horror,Fiction,Paranormal,Fantasy,Thriller,Fantasy,Fantasy,Audiobook,Adult,Mystery",yes
759,Schindler's List (Paperback),Thomas Keneally,4.26,"177,237","5,756",106,1982,4.34,155843,"History,Nonfiction,Classics,World War II,War,Historical,War,Biography,Literature,Media Tie In",yes
760,Stranger in a Strange Land (Paperback),Robert A. Heinlein,3.94,"1,202,810","42,057",651,1961,3.92,299518,"Science Fiction,Fiction,Classics,Science Fiction Fantasy,Fantasy,Novels,Speculative Fiction,Philosophy,Audiobook,Religion",yes
761,"The American Roommate Experiment (Spanish Love Deception, #2)",Elena  Armas,3.93,"490,158","58,974",4,2022,3.94,58716,"Romance,Contemporary,Romance,Fiction,Adult,Womens Fiction,Audiobook,New Adult,Adult Fiction",yes
762,Bad Blood: Secrets and Lies in a Silicon Valley Startup (Hardcover),John Carreyrou,4.41,"234,593","20,700",5,2018,4.41,234492,"Nonfiction,Business,Crime,Audiobook,Science,Mystery,Biography,Science,History,Writing",yes
763,"Book of Night (Book of Night, #1)",Holly Black,4.09,"2,906,111","278,344",168,2022,3.55,35514,"Fantasy,Fantasy,Adult,Fiction,Fantasy,Mystery,Fantasy,Romance,Audiobook,Adult Fiction",yes
764,Emotional Intelligence: Why It Can Matter More Than IQ (Hardcover),Daniel Goleman,3.99,"199,835","10,305",233,1995,4.04,107008,"Psychology,Nonfiction,Self Help,Business,Self Help,Science,Leadership,Education,Business,Audiobook",yes
765,"The Diviners (The Diviners, #1)",Libba Bray,3.85,"706,186","64,013",41,2012,3.94,94287,"Fantasy,Young Adult,Historical,Fantasy,Mystery,Historical,Horror,Fiction,Audiobook,Fantasy",yes
766,Fantastic Beasts and Where to Find Them (Hogwarts Library),Newt Scamander,3.97,"381,113","11,981",1,2001,3.97,381115,"Fantasy,Fiction,Young Adult,Childrens,Fantasy,Childrens,Audiobook,Short Stories,Science Fiction Fantasy,Fantasy",yes
767,Sarah's Key (Hardcover),Tatiana de Rosnay,4.05,"521,070","39,806",45,2006,4.17,456917,"Historical,Fiction,World War II,Historical,War,Cultural,War,Book Club,Adult,Adult Fiction",yes
768,"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,4.36,"8,085,813","673,367",87,2014,4.46,494192,"Fantasy,Young Adult,Romance,Fantasy,Fairies,Fiction,Young Adult,Fantasy,New Adult,Adventure",yes
769,The Power (Hardcover),Naomi Alderman,3.78,"223,748","26,376",33,2016,3.78,201562,"Fiction,Science Fiction,Feminism,Science Fiction,Fantasy,Audiobook,Adult,Speculative Fiction,Book Club,Contemporary",yes
770,The Perfect Marriage (Paperback),Jeneva Rose,4.02,"195,216","16,384",6,2020,4.04,169827,"Thriller,Mystery,Thriller,Fiction,Audiobook,Suspense,Mystery,Adult,Thriller,Contemporary",yes
771,Let the Right One In (Hardcover),John Ajvide Lindqvist,3.9,"146,928","11,656",57,2004,4.04,103233,"Horror,Fiction,Paranormal,Fantasy,Fantasy,Thriller,Fantasy,Mystery,Cultural,European Literature",yes
772,"The Happiness Project: Or Why I Spent a Year Trying to Sing in the Morning, Clean My Closets, Fight Right, Read Aristotle, and Generally Have More Fun (Hardcover)",Gretchen Rubin,3.67,"258,999","24,668",29,2009,3.64,163000,"Nonfiction,Self Help,Autobiography,Psychology,Self Help,Audiobook,Inspirational,Biography,Adult,Book Club",yes
773,My Life Next Door (Hardcover),Huntley Fitzpatrick,3.93,"189,732","14,408",4,2012,3.98,148109,"Young Adult,Romance,Contemporary,Fiction,Womens Fiction,Young Adult,Realistic Fiction,Romance,Young Adult,Young Adult",yes
774,The Whisper Man (Paperback),Alex North,3.97,"177,814","22,261",12,2019,4.04,131715,"Thriller,Mystery,Fiction,Horror,Thriller,Mystery,Audiobook,Suspense,Adult,Contemporary",yes
775,We Need to Talk About Kevin (Paperback),Lionel Shriver,3.93,"261,296","27,655",47,2003,4.07,182990,"Fiction,Contemporary,Thriller,Horror,Mystery,Drama,Adult,Psychology,Literary Fiction,Book Club",yes
776,The Bluest Eye (Paperback),Toni Morrison,3.98,"995,586","61,512",156,1970,4.1,217902,"Fiction,Classics,Historical,Cultural,Race,Novels,Literature,Literary Fiction,Literature,Academic",yes
777,"The One (The Selection, #3)",Kiera Cass,3.99,"3,603,821","223,854",33,2014,4.17,588640,"Romance,Young Adult,Science Fiction,Fantasy,Fiction,Audiobook,Science Fiction,Young Adult,Womens Fiction,Young Adult",yes
778,The Tales of Beedle the Bard (Hardcover),J.K. Rowling,4.46,"32,200,287","716,343",385,2008,4.05,462950,"Fantasy,Fiction,Young Adult,Short Stories,Childrens,Fantasy,Childrens,Fantasy,Audiobook,Science Fiction Fantasy",yes
779,To Sleep in a Sea of Stars (Hardcover),Christopher Paolini,3.98,"2,784,426","68,613",56,2020,3.78,44297,"Science Fiction,Fiction,Fantasy,Adult,Audiobook,Space,Space,Science Fiction,Science Fiction Fantasy,Young Adult",yes
780,"P.S. I Love You (P.S. I Love You, #1)",Cecelia Ahern,3.92,"864,750","52,721",74,2004,4.03,367203,"Romance,Womens Fiction,Fiction,Contemporary,Adult,Romance,Love,Drama,Adult Fiction,Cultural",yes
781,Midnight's Children (Paperback),Salman Rushdie,3.83,"378,881","30,796",138,1981,3.98,115971,"Fiction,Magical Realism,Cultural,Classics,Historical,Fantasy,Literature,Novels,Literary Fiction,Asian Literature",yes
782,"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,4.36,"8,085,813","673,367",87,2016,4.57,360450,"Fantasy,Young Adult,Romance,New Adult,Fantasy,Fairies,Fiction,Young Adult,Fantasy,Fantasy",yes
783,Salt: A World History (Paperback),Mark Kurlansky,3.78,"117,164","9,890",56,2002,3.74,66751,"History,Nonfiction,Food and Drink,Science,History,Historical,History,Audiobook,Food and Drink,History",yes
784,"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,4.26,"159,636","29,313",38,2019,4.23,89359,"Fantasy,Science Fiction,LGBT,Fiction,Horror,LGBT,Adult,LGBT,Mystery,Audiobook",yes
785,"In a Dark, Dark Wood (Paperback)",Ruth Ware,3.76,"1,586,339","141,424",17,2015,3.72,300332,"Mystery,Thriller,Fiction,Thriller,Suspense,Audiobook,Mystery,Adult,Horror,Adult Fiction",yes
786,Emotional Intelligence 2.0 (Hardcover),Travis Bradberry,3.84,"83,837","1,885",22,2003,3.84,78123,"Psychology,Self Help,Nonfiction,Business,Leadership,Self Help,Buisness,Business,Relationships,Productivity",yes
787,Without Merit (Kindle Edition),Colleen Hoover,4.24,"9,640,004","874,642",62,2017,3.83,144147,"Romance,Young Adult,Contemporary,Fiction,New Adult,Audiobook,Health,Romance,Family,Mental Health",yes
788,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,4.21,"574,768","59,983",83,1993,4.21,126700,"Fiction,Science Fiction,Science Fiction,Fantasy,Apocalyptic,Classics,Speculative Fiction,Science Fiction Fantasy,Audiobook,Novels",yes
789,"Twisted Love (Twisted, #1)",Ana Huang,4.02,"597,159","64,345",13,2021,3.77,216189,"Romance,Contemporary,Romance,New Adult,Adult,Dark,Fiction,Academic,Love,Audiobook",yes
790,Mindset: The New Psychology of Success (Hardcover),Carol S. Dweck,4.09,"129,220","9,802",21,2006,4.08,127933,"Psychology,Nonfiction,Self Help,Business,Self Help,Education,Leadership,Parenting,Productivity,Teaching",yes
791,Tess of the D’Urbervilles (Paperback),Thomas Hardy,3.86,"673,573","32,752","1,187",1891,3.82,266978,"Classics,Fiction,Romance,Literature,Historical,Literature,Historical,Novels,Classics,European Literature",yes
792,Deception Point (Mass Market Paperback),Dan Brown,3.87,"7,967,790","200,537",134,2001,3.74,643052,"Fiction,Thriller,Mystery,Suspense,Thriller,Adventure,Science Fiction,Mystery,Novels,Action",yes
793,"The Ex Hex (The Ex Hex, #1)",Erin Sterling,3.59,"146,222","22,317",3,2021,3.54,124392,"Romance,Fantasy,Fiction,Fantasy,Contemporary,Paranormal,Adult,Audiobook,Fantasy,Romance",yes
794,"Chain of Gold (The Last Hours, #1)",Cassandra Clare,4.23,"8,430,727","485,062",187,2020,4.43,82541,"Fantasy,Young Adult,Romance,Historical,Young Adult,Fantasy,Fantasy,Historical,Fiction,LGBT",yes
795,"The Young Elites (The Young Elites, #1)",Marie Lu,4.15,"1,523,417","155,114",44,2014,3.88,128612,"Fantasy,Young Adult,Science Fiction,Romance,Fiction,Young Adult,Fantasy,Science Fiction,Fantasy,Fantasy",yes
796,The Sandman Vol. 1: Preludes & Nocturnes (Hardcover),Neil Gaiman,4.14,"7,226,645","450,345","1,481",1988,4.24,250572,"Sequential Art,Sequential Art,Fantasy,Fiction,Horror,Graphic Novels Comics,Comics,Fantasy,Fantasy,Adult",yes
797,A Beautiful Mind (Paperback),Sylvia Nasar,4.13,"132,150","1,812",9,1998,4.13,130111,"Biography,Nonfiction,Psychology,Science,Science,History,Biography Memoir,Health,Media Tie In,Autobiography",yes
798,"Cress (The Lunar Chronicles, #3)",Marissa Meyer,4.21,"2,589,882","270,016",56,2014,4.42,335480,"Fantasy,Young Adult,Science Fiction,Romance,Retellings,Science Fiction,Fiction,Fantasy,Audiobook,Adventure",yes
799,"Three Dark Crowns (Three Dark Crowns, #1)",Kendare Blake,3.89,"402,362","50,430",41,2016,3.81,100034,"Fantasy,Young Adult,Young Adult,Fiction,Romance,Fantasy,Fantasy,Audiobook,Young Adult,Science Fiction Fantasy",yes
800,Better Than the Movies (Hardcover),Lynn Painter,4.08,"128,132","22,623",8,2021,4.28,78652,"Romance,Young Adult,Contemporary,Fiction,Romance,Young Adult,Audiobook,Young Adult,Young Adult,Womens Fiction",yes
801,Wall and Piece (Paperback),Banksy,3.86,"226,038","1,083",25,2005,3.85,220429,"Art,Nonfiction,Politics,Art,Art,Art,Design,Art,Reference,Art",yes
802,"Winter (The Lunar Chronicles, #4)",Marissa Meyer,4.21,"2,589,882","270,016",56,2015,4.43,248965,"Fantasy,Young Adult,Science Fiction,Romance,Retellings,Science Fiction,Fiction,Fantasy,Audiobook,Adventure",yes
803,Every Last Word (Hardcover),Tamara Ireland Stone,4.18,"89,781","11,480",13,2015,4.26,69384,"Young Adult,Contemporary,Health,Romance,Fiction,Mental Health,Realistic Fiction,Poetry,Young Adult,Young Adult",yes
804,Still Alice (Paperback),Lisa Genova,4.2,"533,822","54,588",14,2007,4.31,325513,"Fiction,Contemporary,Psychology,Book Club,Adult Fiction,Adult,Audiobook,Medical,Realistic Fiction,Drama",yes
805,1491: New Revelations of the Americas Before Columbus (Paperback),Charles C. Mann,4.06,"105,432","6,962",31,2005,4.03,80615,"History,Nonfiction,North American Hi...,Anthropology,Science,Historical,History,Audiobook,Literature,History",yes
806,Can't Hurt Me: Master Your Mind and Defy the Odds (Kindle Edition),David Goggins,4.36,"152,385","10,160",9,2018,4.36,148088,"Nonfiction,Self Help,Biography,Self Help,Psychology,Audiobook,Autobiography,Biography,Leadership,War",yes
807,"Where She Went (If I Stay, #2)",Gayle Forman,3.92,"1,427,846","98,478",30,2011,3.99,283443,"Young Adult,Romance,Contemporary,Fiction,Realistic Fiction,Music,New Adult,Young Adult,Audiobook,Young Adult",yes
808,"Ignite Me (Shatter Me, #3)",Tahereh Mafi,4.09,"2,005,157","210,817",35,2014,4.45,283957,"Science Fiction,Young Adult,Fantasy,Romance,Science Fiction,Fiction,Fantasy,New Adult,Young Adult,Audiobook",yes
809,The Dictionary of Lost Words (Paperback),Pip Williams,4.07,"81,509","10,169",13,2020,4.08,80411,"Historical,Fiction,Historical,Writing,Audiobook,Feminism,Adult,Book Club,Romance,Adult Fiction",yes
810,The Lincoln Highway (Hardcover),Amor Towles,4.19,"971,666","97,560",22,2021,4.25,187503,"Fiction,Historical,Audiobook,Historical,Literary Fiction,Adventure,Book Club,Young Adult,Adult,Adult Fiction",yes
811,Giovanni's Room (Paperback),James Baldwin,4.32,"400,215","36,680",184,1956,4.3,107220,"Classics,Fiction,LGBT,LGBT,Romance,Novels,LGBT,Literary Fiction,Literature,Cultural",yes
812,Sometimes I Lie (Paperback),Alice Feeney,3.89,"501,416","62,912",15,2017,3.81,150500,"Thriller,Mystery,Fiction,Thriller,Audiobook,Suspense,Thriller,Adult,Mystery,Contemporary",yes
813,"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,4.04,"3,486,459","218,504",470,2003,4.01,250311,"Fiction,Science Fiction,Science Fiction,Apocalyptic,Fantasy,Cultural,Speculative Fiction,Science Fiction Fantasy,Audiobook,Novels",yes
814,Bury My Heart at Wounded Knee: An Indian History of the American West (Paperback),Dee Brown,4.22,"89,964","5,367",55,1970,4.23,84784,"History,Nonfiction,North American Hi...,Classics,Historical,Politics,Race,War,Westerns,Native Americans",yes
815,Genghis Khan and the Making of the Modern World (Kindle Edition),Jack Weatherford,4.03,"75,583","4,554",14,2004,4.03,66769,"History,Nonfiction,Biography,Cultural,Historical,History,Audiobook,War,Cultural,Biography Memoir",yes
816,"The Elite (The Selection, #2)",Kiera Cass,3.99,"3,603,821","223,854",33,2013,3.97,661635,"Young Adult,Romance,Science Fiction,Fantasy,Fiction,Science Fiction,Audiobook,Young Adult,Young Adult,Womens Fiction",yes
817,The Keeper of Lost Things (ebook),Ruth Hogan,3.84,"154,930","15,181",5,2017,3.81,130411,"Fiction,Contemporary,Fantasy,Romance,Audiobook,Magical Realism,Adult,Book Club,Adult Fiction,Womens Fiction",yes
818,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.34,"11,197,573","446,248",278,2007,4.36,897465,"Fantasy,Young Adult,Fantasy,Fiction,Childrens,Adventure,Mythology,Childrens,Fantasy,Fantasy",yes
819,Convenience Store Woman (Paperback),Sayaka Murata,3.7,"223,336","34,211",28,2016,3.71,186118,"Fiction,Contemporary,Cultural,Asian Literature,Literary Fiction,Audiobook,Adult,Cultural,Adult Fiction,Literature",yes
820,Fear and Loathing in Las Vegas (Paperback),Hunter S. Thompson,4.03,"534,399","16,185",78,1971,4.07,329077,"Fiction,Classics,Humor,Writing,Novels,Literature,Literature,Contemporary,Travel,Humor",yes
821,Queenie (Hardcover),Candice Carty-Williams,3.87,"135,227","13,517",20,2019,3.87,125103,"Fiction,Contemporary,Audiobook,Adult,Health,Feminism,Race,Literary Fiction,Adult Fiction,Womens Fiction",yes
