,Title,Author,Author Average Rating,Author Votes,Review Count,Distinct Works,Year,Rating,Raters,Genres
914,The Catsitters,James Wolcott,3.18,592,57,small,new,2.93,small,"Fiction,Animals,Humor,Novels"
915,The Glass Castle (Paperback),Jeannette Walls,4.24,1300382,76521,small,new,4.3,large,"Nonfiction,Autobiography,Biography,Biography Memoir,Biography,Book Club,Adult,Audiobook,Academic,Contemporary"
916,لا سكاكين في مطابخ هذه المدينة,خالد خليفة,3.34,6719,1552,very small,new,2.96,medium,"Fiction,Novels,Historical,Literary Fiction,Literature,Contemporary,War,Cultural,Historical,Politics"
917,The Martian (Hardcover),Andy Weir,4.28,1953545,196606,small,new,4.41,large,"Science Fiction,Fiction,Audiobook,Adventure,Space,Adult,Science Fiction Fantasy,Thriller,Humor,Adventure"
918,Alison Wonderland,Helen  Smith,2.98,4323,981,small,new,2.46,medium,"Fiction,Mystery,Fantasy,Womens Fiction,European Literature,Contemporary,Humor,Romance,Literary Fiction,Fantasy"
919,After the Saucers Landed,Douglas Lain,3.42,1128,212,small,new,2.78,small,"Science Fiction,Fiction,Science Fiction Fantasy,Science Fiction,New York"
920,The Neverending Story (Hardcover),Michael Ende,4.21,283294,14060,average,old,4.18,large,"Fantasy,Classics,Fiction,Young Adult,Childrens,Adventure,European Literature,Childrens,Writing,Science Fiction Fantasy"
921,The Secret Life of Bees (Paperback),Sue Monk Kidd,4.07,1745246,82644,small,new,4.08,large,"Fiction,Historical,Young Adult,Classics,Historical,Contemporary,Adult Fiction,Young Adult,Adult,Novels"
922,The Catcher in the Rye (Paperback),J.D. Salinger,3.84,3654801,90793,average,old,3.81,large,"Classics,Fiction,Young Adult,Literature,Academic,Novels,Young Adult,Young Adult,Literature,Academic"
923,You Lost Me There,Rosecrans Baldwin,3.37,5239,762,very small,new,2.91,medium,"Fiction,Contemporary,Novels,Literary Fiction,Unfinished,Literature,Adult,Adult Fiction,Suspense,Audiobook"
924,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,4.37,6423107,220104,large,new,4.33,large,"Fantasy,Fiction,Fantasy,Science Fiction Fantasy,Fantasy,Fantasy,Adult,Adventure,Audiobook,Epic"
925,Their Eyes Were Watching God (Paperback),Zora Neale Hurston,3.98,375495,24175,average,old,3.97,large,"Classics,Fiction,Historical,Academic,Cultural,Literature,Feminism,Novels,Academic,Historical"
926,The Dictionary of Lost Words (Paperback),Pip Williams,4.07,81509,10169,small,new,4.08,large,"Historical,Fiction,Historical,Writing,Audiobook,Feminism,Adult,Book Club,Romance,Adult Fiction"
927,The Old English Baron,Clara Reeve,3.04,795,109,medium,new,2.97,small,"Gothic,Classics,Fiction,Horror,Literature,European Literature,Literature,Mystery,Horror,Romance"
928,"Never Never (Never Never, #1)",Colleen Hoover,4.24,9640565,874692,medium,new,4.01,large,"Romance,Young Adult,Contemporary,Mystery,New Adult,Fiction,Fantasy,Fantasy,Suspense,Romance"
929,My Year of Rest and Relaxation (Paperback),Ottessa Moshfegh,3.65,383161,56427,small,new,3.71,large,"Fiction,Contemporary,Literary Fiction,Health,Audiobook,Adult,Novels,Adult Fiction,New York,Womens"
930,"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,4.04,3486459,218504,large,new,4.01,large,"Fiction,Science Fiction,Science Fiction,Apocalyptic,Fantasy,Cultural,Speculative Fiction,Science Fiction Fantasy,Audiobook,Novels"
931,The Spa,Fay Weldon,3.48,26524,3045,average,new,2.81,small,"Fiction,Womens Fiction,Literary Fiction,Short Stories,Novels,Romance,Mystery,Womens,Contemporary"
932,The Fountainhead (Mass Market Paperback),Ayn Rand,3.76,924539,48010,average,old,3.88,large,"Fiction,Classics,Philosophy,Literature,Novels,Politics,Architecture,Literary Fiction,Literature,Classics"
933,"Across the Universe (Across the Universe, #1)",Beth Revis,3.87,255573,27590,small,new,3.77,large,"Young Adult,Science Fiction,Science Fiction,Romance,Fantasy,Fiction,Mystery,Space,Young Adult,Adventure"
934,The Curious Incident of the Dog in the Night-Time (Paperback),Mark Haddon,3.87,1452660,59872,medium,new,3.89,large,"Fiction,Mystery,Young Adult,Contemporary,Classics,Novels,Neurodiversity,Psychology,Academic,Literature"
935,My Dark Vanessa (Hardcover),Kate Elizabeth Russell,4.09,235160,32649,very small,new,4.09,large,"Fiction,Contemporary,Adult,Audiobook,Literary Fiction,Thriller,Dark,Health,Adult Fiction,Sociology"
936,Mrs. God,Peter Straub,4.02,466352,21219,average,new,2.48,small,"Horror,Fiction,Fantasy,Gothic,Mystery,Thriller,Adult Fiction,Contemporary,Novella,Fantasy"
937,Everything We Ever Wanted,Sara Shepard,3.93,926542,54215,average,new,2.86,medium,"Fiction,Contemporary,Womens Fiction,Adult Fiction,Romance,Adult,Novels,Mystery,Womens Fiction,Family"
938,Solstice,Lorence Alison,2.93,368,112,very small,new,2.93,small,"Horror,Young Adult,Mystery,Thriller,Fiction,Contemporary,Adventure,Adventure,Humor,Young Adult"
939,"A Great and Terrible Beauty (Gemma Doyle, #1)",Libba Bray,3.85,706186,64013,small,new,3.79,large,"Fantasy,Young Adult,Historical,Fiction,Historical,Fantasy,Romance,Fantasy,Young Adult,Young Adult"
940,Getting Things Done: The Art of Stress-Free Productivity (Paperback),David    Allen,3.99,157029,6585,medium,new,4.0,large,"Nonfiction,Business,Productivity,Self Help,Self Help,Business,Psychology,Leadership,Reference,Audiobook"
941,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,4.2,764444,82799,average,new,4.32,large,"Fantasy,Fiction,Science Fiction,Science Fiction,Adult,Science Fiction Fantasy,Audiobook,LGBT,Apocalyptic,Fantasy"
942,The God of Small Things (Hardcover),Arundhati Roy,3.92,335138,24292,medium,new,3.95,large,"Fiction,Cultural,Historical,Contemporary,Classics,Literary Fiction,Asian Literature,Novels,Literature,Cultural"
943,Pygmy,Chuck Palahniuk,3.84,1638019,74329,average,new,2.97,large,"Fiction,Contemporary,Humor,Novels,Literature,Literature,Suspense,Unfinished,Adult Fiction,Humor"
944,"Antigua: The Land of Fairies, Wizards and Heroes",Larry   Ellis,1.63,76,25,very small,new,1.63,small,"Fantasy,Fiction,Young Adult"
945,Homegoing (Hardcover),Yaa Gyasi,4.36,410142,46054,small,new,4.47,large,"Historical,Fiction,Cultural,Historical,Literary Fiction,Audiobook,Race,Adult,Western Africa,Book Club"
946,Stiff: The Curious Lives of Human Cadavers (Paperback),Mary Roach,3.95,440504,39678,small,new,4.06,large,"Nonfiction,Science,Humor,Medical,Audiobook,Health,Death,History,Adult,Science"
947,Gather 'Round the Sound,Paulo Coelho,3.8,3889259,172390,average,old,2.72,medium,"Fiction,Holiday,Short Stories,Audiobook,Holiday,Anthologies,Classics,Novella,Music,Short Stories"
948,College Girl,Patricia Weitz,2.93,1372,220,very small,new,2.93,medium,"Fiction,New Adult,Womens Fiction,Young Adult,Realistic Fiction,Adult Fiction,Academic,Romance,Novels,Young Adult"
949,Paravion,Hafid Bouazza,3.11,1353,122,small,new,3.04,small,"Fiction,European Literature,Literature,Roman,Literary Fiction,Novels,Literature"
950,"Wolf Hall (Thomas Cromwell, #1)",Hilary Mantel,4.0,380460,39068,medium,new,3.89,large,"Historical,Fiction,Historical,European Literature,Audiobook,Literary Fiction,Novels,Literature,Unfinished,English History"
951,The Maidens (Hardcover),Alex Michaelides,4.09,1514366,146959,very small,new,3.63,large,"Mystery,Thriller,Fiction,Thriller,Audiobook,Adult,Contemporary,Fantasy,Suspense,Mystery"
952,"Quantum (Captain Chase, #1)",Patricia Cornwell,3.89,1330664,44514,average,new,2.98,medium,"Mystery,Fiction,Thriller,Science Fiction,Thriller,Audiobook,Suspense,Mystery,Unfinished,Space"
953,The Love of My Youth,Mary Gordon,3.7,31507,2538,medium,new,2.82,medium,"Fiction,Romance,Cultural,Literary Fiction,Contemporary,Love,Relationships,Womens Fiction,Adult Fiction,Unfinished"
954,"The Rosie Project (Don Tillman, #1)",Graeme Simsion,3.93,709565,63531,small,new,4.02,large,"Fiction,Romance,Contemporary,Humor,Womens Fiction,Adult,Audiobook,Adult Fiction,Book Club,Cultural"
955,Know My Name (ebook),Chanel Miller,4.72,149368,21023,very small,new,4.72,large,"Nonfiction,Autobiography,Feminism,Audiobook,Biography,Crime,Biography Memoir,Adult,Biography,Womens"
956,"Tomorrow, and Tomorrow, and Tomorrow (Hardcover)",Gabrielle Zevin,4.01,479455,63229,small,new,4.34,large,"Fiction,Contemporary,Romance,Audiobook,Literary Fiction,Adult,Historical,Adult Fiction,Science Fiction,Young Adult"
957,A Place For Wolves,Kosoko Jackson,3.64,5831,1763,small,new,3.01,small,"Young Adult,LGBT,Historical,Historical,Fiction,LGBT,Thriller,Romance,Contemporary,LGBT"
958,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers (Hardcover),Ben Horowitz,4.21,89187,4291,small,new,4.23,large,"Business,Nonfiction,Business,Business,Leadership,Self Help,Buisness,Biography,Self Help,Science"
959,This Is Where It Ends (Hardcover),Marieke Nijkamp,3.65,132062,18641,small,new,3.69,large,"Young Adult,Contemporary,Fiction,Realistic Fiction,Thriller,LGBT,Young Adult,Health,Young Adult,Suspense"
960,"The Spanish Love Deception (Spanish Love Deception, #1)",Elena  Armas,3.93,490031,58960,very small,new,3.93,large,"Romance,Contemporary,Romance,Fiction,Adult,Womens Fiction,New Adult,Audiobook,Love,Adult Fiction"
961,Sweet Valley Confidential: Ten Years Later,Francine Pascal,3.57,269537,11843,large,new,2.5,medium,"Womens Fiction,Young Adult,Fiction,Adult Fiction,Contemporary,Audiobook,Romance,Novels,Unfinished,Young Adult"
962,Digital Minimalism: Choosing a Focused Life in a Noisy World (Kindle Edition),Cal Newport,4.13,247373,22563,medium,new,4.07,large,"Nonfiction,Self Help,Productivity,Psychology,Self Help,Science,Audiobook,Business,Philosophy,Science"
963,De historie van Mejuffrouw Sara Burgerhart,Betje Wolff,3.01,632,40,small,new,3.01,small,"Classics,Academic,Fiction,Literature,European Literature,Historical,Academic,Literature,Novels,Historical"
964,Built to Last: Successful Habits of Visionary Companies (Hardcover),James C. Collins,4.1,285802,8170,medium,new,4.04,large,"Business,Nonfiction,Leadership,Business,Business,Buisness,Self Help,Economics,Self Help,Economics"
965,The Richest Man in Babylon (Paperback),George S. Clason,4.26,167652,9270,medium,old,4.26,large,"Economics,Business,Nonfiction,Self Help,Currency,Finance,Self Help,Economics,Classics,Philosophy"
966,Subtle Bodies,Norman Rush,3.67,6470,841,small,new,2.78,small,"Fiction,Contemporary,Literary Fiction,Novels,Adult Fiction,American,Unfinished"
967,The Grapes of Wrath (Hardcover),John Steinbeck,3.95,4401139,134553,large,old,3.99,large,"Classics,Fiction,Historical,Literature,Novels,Academic,Literature,Historical,Classics,Young Adult"
968,"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,4.11,531629,22591,small,new,4.12,large,"Nonfiction,Autobiography,Biography,Psychology,Biography,Sociology,Adult,Biography Memoir,Crime,True Story"
969,The Outsider (Hardcover),Stephen King,4.06,17484985,775861,large,new,3.99,large,"Horror,Fiction,Thriller,Mystery,Mystery,Audiobook,Thriller,Fantasy,Fantasy,Suspense"
970,Meditations (Paperback),Marcus Aurelius,4.25,192856,10819,large,old,4.26,large,"Philosophy,Nonfiction,Classics,History,Self Help,Psychology,Self Help,Spirituality,Leadership,Biography"
971,Coming Out Straight: Understanding and Healing Homosexuality,Richard Cohen,2.47,780,205,small,new,1.86,small,"Psychology,Fiction,Social Issues"
972,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.46,32199613,716327,large,new,4.58,large,"Fantasy,Fiction,Young Adult,Fantasy,Childrens,Childrens,Adventure,Audiobook,Classics,Science Fiction Fantasy"
973,"Nevernight (The Nevernight Chronicle, #1)",Jay Kristoff,4.28,617617,114174,small,new,4.23,large,"Fantasy,Young Adult,Fiction,Adult,Fantasy,New Adult,Romance,Audiobook,Fantasy,Young Adult"
974,Prayer,Philip Kerr,4.01,127256,10979,medium,new,2.9,medium,"Fiction,Thriller,Mystery,Mystery,Fantasy,Suspense,Thriller,Horror,Thriller,Audiobook"
975,Into the Wild (Paperback),Jon Krakauer,4.06,1816797,69478,small,new,4.0,large,"Nonfiction,Biography,Travel,Adventure,Classics,Autobiography,Environment,Academic,Biography Memoir,Adventure"
976,Syzyfowe prace,Stefan Żeromski,2.89,22319,1081,medium,new,2.4,medium,"European Literature,Academic,Classics,Fiction,Historical,Cultural,Academic,Literature,Novels,Audiobook"
977,The Library Book (Hardcover),Susan Orlean,3.85,145483,22294,small,new,3.9,large,"Nonfiction,History,Writing,Audiobook,Crime,Adult,Historical,Mystery,Mystery,Book Club"
978,The Overstory (Paperback),Richard Powers,4.02,212363,29227,medium,new,4.13,large,"Fiction,Environment,Literary Fiction,Environment,Contemporary,Novels,Historical,Literature,Audiobook,Book Club"
979,On Earth We're Briefly Gorgeous (Hardcover),Ocean Vuong,4.07,253273,34607,small,new,4.05,large,"Fiction,Poetry,LGBT,Contemporary,LGBT,Literary Fiction,Adult,Audiobook,Novels,Adult Fiction"
980,"Children of Blood and Bone (Legacy of Orïsha, #1)",Tomi Adeyemi,4.06,263787,37335,very small,new,4.11,large,"Fantasy,Young Adult,Fiction,Young Adult,Fantasy,Audiobook,Romance,Adventure,Fantasy,Cultural"
981,Reminders of Him (Kindle Edition),Colleen Hoover,4.24,9637673,874520,medium,new,4.49,large,"Romance,Fiction,Contemporary,Romance,Adult,Audiobook,New Adult,Womens Fiction,Drama,Adult Fiction"
982,A Christmas Blizzard,Garrison Keillor,3.83,53635,5634,average,new,2.9,medium,"Holiday,Fiction,Humor,Holiday,Adult,Audiobook,Humor,Book Club,Novels,Contemporary"
983,Thanos vs. Hulk,Jim Starlin,3.95,101707,6767,large,new,2.61,small,"Sequential Art,Superheroes,Sequential Art,Comics,Comics,Fiction,Graphic Novels Comics"
984,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.34,11197573,446248,average,new,4.53,large,"Fantasy,Young Adult,Fantasy,Fiction,Childrens,Adventure,Mythology,Childrens,Fantasy,Young Adult"
985,"Life After Death (The Coldest Winter Ever, #2)",Sister Souljah,4.29,62341,5370,small,new,2.53,medium,"Fiction,Audiobook,Contemporary,Urban,Womens Fiction,Adult Fiction"
986,"The Darkest Minds (The Darkest Minds, #1)",Alexandra Bracken,4.09,505672,58592,small,new,4.16,large,"Young Adult,Science Fiction,Fantasy,Science Fiction,Romance,Fiction,Fantasy,Adventure,Young Adult,Fantasy"
987,Kafka on the Shore (Paperback),Haruki Murakami,3.95,3150949,247606,large,new,4.14,large,"Fiction,Magical Realism,Fantasy,Cultural,Asian Literature,Contemporary,Novels,Literature,Classics,Literary Fiction"
988,Mad Honey (Hardcover),Jodi Picoult,3.99,4447211,273762,medium,new,4.24,large,"Fiction,Mystery,Contemporary,Audiobook,Thriller,Romance,Adult,Thriller,LGBT,Adult Fiction"
989,The Midtown Butcher,Andy Weir,4.28,1953489,196598,small,new,2.91,small,"Short Stories,Fiction,Fantasy,Thriller,Audiobook,Thriller,Mystery,Mystery"
990,"Heather, the Totality",Matthew Weiner,2.94,6508,1142,very small,new,2.92,medium,"Fiction,Contemporary,Audiobook,Adult,Adult Fiction,Thriller,Literary Fiction,Novels,Novella,New York"
991,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration (Hardcover)",Ed Catmull,4.21,85126,5108,very small,new,4.21,large,"Business,Nonfiction,Leadership,Business,Biography,Self Help,Design,Audiobook,Self Help,Business"
992,The Measures Between Us,Ethan Hauser,2.92,250,50,very small,new,2.86,small,"Fiction,Unfinished"
993,A Walk to Remember (Kindle Edition),Nicholas Sparks,4.1,6336846,194778,average,new,4.19,large,"Romance,Fiction,Contemporary,Womens Fiction,Young Adult,Adult,Romance,Drama,Adult Fiction,Love"
994,"Hawk & Dove, Volume 1: First Strikes",Rob Liefeld,3.9,59021,2750,large,new,2.84,small,"Sequential Art,Sequential Art,Superheroes,Comics,Graphic Novels Comics,Comics"
995,"As Good As Dead (A Good Girl's Guide to Murder, #3)",Holly  Jackson,4.33,755721,94926,very small,new,4.19,large,"Mystery,Young Adult,Thriller,Thriller,Fiction,Contemporary,Audiobook,Mystery,Mystery,Romance"
996,On Writing: A Memoir of the Craft (Mass Market Paperback),Stephen King,4.06,17485048,775865,large,new,4.33,large,"Nonfiction,Language,Autobiography,Biography,Reference,Audiobook,Biography,Biography Memoir,Writing,Self Help"
997,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,3.87,7967790,200537,average,new,3.73,large,"Fiction,Mystery,Thriller,Thriller,Suspense,Adventure,Historical,Mystery,Novels,Adult"
998,Sakina's restaurant,Aasif Mandvi,3.31,3354,477,very small,new,2.85,medium,"Fiction,Audiobook,Plays,Humor,Drama,Humor,Cultural,Plays,Cultural,Family"
999,Christmas With My Grinch,B.L. Morticia,3.47,1055,356,medium,new,2.9,small,"Romance,Holiday,Romance,Holiday,Romance,Short Stories,Adult Fiction,Erotica,LGBT,Contemporary"
1000,Luckiest Girl Alive (Hardcover),Jessica Knoll,3.49,212732,17478,very small,new,3.54,large,"Fiction,Mystery,Thriller,Thriller,Audiobook,Contemporary,Adult,Suspense,Adult Fiction,Womens Fiction"
1001,We Have Always Lived in the Castle (Paperback),Shirley Jackson,3.92,648274,61474,average,old,3.96,large,"Horror,Classics,Fiction,Gothic,Mystery,Audiobook,Thriller,Adult,Thriller,Novels"
1002,Empire of Pain: The Secret History of the Sackler Dynasty (Hardcover),Patrick Radden Keefe,4.45,159839,18613,small,new,4.55,large,"Nonfiction,History,Audiobook,Biography,Crime,Business,Science,Politics,Health,Mystery"
1003,"Serpent & Dove (Serpent & Dove, #1)",Shelby Mahurin,3.91,359315,47043,very small,new,4.02,large,"Fantasy,Romance,Young Adult,Young Adult,Paranormal,Fantasy,Fiction,Romance,Fantasy,New Adult"
1004,Under the Dome (Hardcover),Stephen King,4.06,17485061,775865,large,new,3.91,large,"Horror,Fiction,Science Fiction,Thriller,Fantasy,Mystery,Audiobook,Suspense,Adult,Science Fiction"
1005,Under the Tuscan Sun (Paperback),Frances Mayes,3.76,363013,7649,small,new,3.77,large,"Travel,Nonfiction,Autobiography,Cultural,Biography,Romance,Womens Fiction,Food and Drink,Contemporary,Biography Memoir"
1006,We All Fall Down,Rose Szabo,3.28,6057,1726,very small,new,2.49,small,"Fantasy,Young Adult,LGBT,LGBT,Fiction,Young Adult,Paranormal,Fantasy,Fantasy,Fantasy"
1007,"The Mysterious Affair at Styles (Hercule Poirot, #1)",Agatha Christie,4.02,5724455,337935,large,old,4.0,large,"Mystery,Fiction,Classics,Mystery,Thriller,Audiobook,Mystery,Thriller,Adult,European Literature"
1008,"Elantris (Elantris, #1)",Brandon Sanderson,4.4,4950300,345009,large,new,4.19,large,"Fantasy,Fiction,Fantasy,Fantasy,Adult,Audiobook,Fantasy,Science Fiction Fantasy,Romance,Science Fiction"
1009,They All Fall Down,Rachel Howzell Hall,3.64,40129,4625,small,new,2.9,medium,"Mystery,Thriller,Fiction,Thriller,Audiobook,Suspense,Contemporary,Adult,Adult Fiction,Mystery"
1010,"After You (Me Before You, #2)",Jojo Moyes,4.11,3003008,213734,medium,new,3.73,large,"Romance,Fiction,Contemporary,Womens Fiction,Audiobook,Adult,Adult Fiction,Drama,Romance,Realistic Fiction"
1011,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson,4.17,4852942,160529,medium,new,4.23,large,"Fiction,Mystery,Thriller,Mystery,Thriller,Suspense,Contemporary,Cultural,Audiobook,Adult"
1012,Dear John (Hardcover),Nicholas Sparks,4.1,6336889,194781,average,new,4.04,large,"Romance,Fiction,Womens Fiction,Contemporary,Adult,Adult Fiction,Young Adult,Romance,Love,Drama"
1013,The Paris Wife (Hardcover),Paula McLain,3.83,449978,40679,small,new,3.82,large,"Historical,Fiction,Historical,Romance,Cultural,Book Club,Audiobook,Adult Fiction,Adult,Novels"
1014,"Bird Box (Bird Box, #1)",Josh Malerman,3.89,239145,32094,medium,new,4.04,large,"Horror,Fiction,Thriller,Science Fiction,Mystery,Science Fiction,Apocalyptic,Audiobook,Adult,Suspense"
1015,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.34,11197573,446248,average,new,4.24,large,"Fantasy,Young Adult,Fantasy,Fiction,Childrens,Adventure,Mythology,Childrens,Fantasy,Audiobook"
1016,القوس والفراشة,محمد الأشعري,3.02,648,135,small,new,2.98,small,"Fiction,Novels,Northern Africa,Moroccan,Cultural,Literature"
1017,"Easy (Contours of the Heart, #1)",Tammara Webber,4.03,323234,18652,very small,new,4.08,large,"Romance,New Adult,Contemporary,Young Adult,Romance,Academic,Fiction,Womens Fiction,Realistic Fiction,Sociology"
1018,The Ocean at the End of the Lane (Hardcover),Neil Gaiman,4.14,7226470,450330,large,new,4.01,large,"Fantasy,Fiction,Magical Realism,Horror,Audiobook,Young Adult,Adult,Science Fiction Fantasy,Adult Fiction,Fantasy"
1019,Gallant (Hardcover),V.E. Schwab,4.17,1701519,237366,medium,new,3.79,large,"Fantasy,Young Adult,Horror,Fiction,Fantasy,Gothic,Mystery,Audiobook,Young Adult,Fantasy"
1020,Lucky You,Erika Carter,2.62,2879,445,very small,new,2.62,medium,"Fiction,Contemporary,Literary Fiction,Novels,Adult Fiction,Young Adult,Adult,New Adult,Realistic Fiction,Drama"
1021,Pachinko (Kindle Edition),Min Jin Lee,4.29,394477,39247,small,new,4.32,large,"Historical,Fiction,Historical,Cultural,Cultural,Literary Fiction,Audiobook,Adult,Literature,Novels"
1022,Jane Eyre (Paperback),Charlotte Brontë,4.02,3520224,95892,large,old,4.14,large,"Classics,Fiction,Romance,Historical,Gothic,Literature,Historical,Academic,Literature,Novels"
1023,Lolita (Paperback),Vladimir Nabokov,3.88,1417118,61245,large,old,3.88,large,"Classics,Fiction,Literature,Novels,Cultural,Romance,Literature,Literary Fiction,Literature,Adult"
1024,"After Dead: What Came Next in the World of Sookie Stackhouse (Sookie Stackhouse, #13.5)",Charlaine Harris,3.94,3519866,139555,average,new,3.01,medium,"Fantasy,Fantasy,Paranormal,Fantasy,Fiction,Fantasy,Romance,Romance,Mystery,Short Stories"
1025,The Cheat Sheet (Kindle Edition),Sarah       Adams,3.81,198931,24958,small,new,3.75,large,"Romance,Contemporary Romance,Contemporary,Sports,Romance,Fiction,Adult,Audiobook,Womens Fiction,New Adult"
1026,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses (Hardcover),Eric Ries,4.11,304465,4372,small,new,4.11,large,"Business,Nonfiction,Business,Business,Leadership,Buisness,Self Help,Science,Self Help,Economics"
1027,Never Let Me Go (Paperback),Kazuo Ishiguro,3.85,1336656,117741,small,new,3.84,large,"Fiction,Science Fiction,Science Fiction,Contemporary,Literary Fiction,Romance,Adult,Novels,Literature,Classics"
1028,An Arsonist's Guide to Writers' Homes in New England,Brock Clarke,3.06,8687,1904,small,new,2.96,medium,"Fiction,Mystery,Humor,Novels,Writing,Contemporary,Unfinished,Literature,Literary Fiction,Adult Fiction"
1029,Cloud Cuckoo Land (Hardcover),Anthony Doerr,4.3,1567870,118312,small,new,4.27,large,"Fiction,Historical,Fantasy,Science Fiction,Literary Fiction,Audiobook,Historical,Adult,Writing,Adult Fiction"
1030,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,3.91,2137572,63265,average,old,4.01,large,"Horror,Fantasy,Fiction,Paranormal,Fantasy,Classics,Gothic,Fantasy,Historical,Fantasy"
1031,"The Grave Gourmet (Capucine Culinary Mystery, #1)",Alexander Campion,3.04,1561,303,very small,new,2.85,small,"Mystery,Fiction,Mystery,Food and Drink,Food and Drink,Thriller,Cultural,Cultural,Mystery,Contemporary"
1032,"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)",Robin Sloan,3.74,261952,37684,small,new,3.73,large,"Fiction,Mystery,Fantasy,Writing,Contemporary,Audiobook,Adult,Adult Fiction,Magical Realism,Adventure"
1033,Project Hail Mary (Hardcover),Andy Weir,4.28,1953594,196612,small,new,4.52,large,"Science Fiction,Fiction,Audiobook,Space,Fantasy,Adult,Thriller,Science Fiction Fantasy,Adventure,Mystery"
1034,A Flicker in the Dark (Hardcover),Stacy Willingham,4.02,132310,15462,very small,new,4.01,large,"Thriller,Mystery,Thriller,Fiction,Audiobook,Suspense,Adult,Mystery,Contemporary,Thriller"
1035,Alentejo Blue,Monica Ali,3.69,96131,7926,small,new,2.74,medium,"Fiction,Cultural,Short Stories,Contemporary,Literary Fiction,Novels,Adolescence,Travel,Female Authors,Cultural"
1036,Brain on Fire: My Month of Madness (ebook),Susannah Cahalan,4.05,210718,15824,very small,new,4.07,large,"Nonfiction,Autobiography,Psychology,Biography,Health,Audiobook,Science,Medical,Biography Memoir,Health"
1037,My Grandmother Asked Me to Tell You She's Sorry (Hardcover),Fredrik Backman,4.26,2271558,270402,small,new,4.07,large,"Fiction,Contemporary,Fantasy,Audiobook,Humor,Adult,Adult Fiction,Book Club,Family,Literary Fiction"
1038,Modern Romance (Hardcover),Aziz Ansari,3.81,181517,13690,very small,new,3.81,large,"Nonfiction,Humor,Audiobook,Romance,Humor,Sociology,Psychology,Relationships,Autobiography,Adult"
1039,Daisy Darker (Hardcover),Alice Feeney,3.89,501430,62912,small,new,3.85,large,"Mystery,Thriller,Thriller,Fiction,Audiobook,Suspense,Adult,Horror,Mystery,Contemporary"
1040,"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,4.25,556000,69692,small,new,4.26,large,"Fantasy,Young Adult,Romance,Fiction,Young Adult,Science Fiction,Fantasy,Audiobook,Fantasy,Adventure"
1041,"Addicted to You (Addicted, #1)",Krista Ritchie,4.14,532013,64267,small,new,3.83,large,"Romance,New Adult,Contemporary,Romance,Academic,Adult,Fiction,Dark,Health,Sociology"
1042,"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,4.26,159636,29313,small,new,4.23,large,"Fantasy,Science Fiction,LGBT,Fiction,Horror,LGBT,Adult,LGBT,Mystery,Audiobook"
1043,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,3.74,1141192,23141,small,new,3.79,large,"Fiction,Womens Fiction,Romance,Humor,Contemporary,Adult,Humor,Adult Fiction,European Literature,Romance"
1044,"The Priory of the Orange Tree (The Roots of Chaos, #1)",Samantha Shannon,4.08,270642,42687,small,new,4.23,large,"Fantasy,LGBT,Fiction,Adult,LGBT,LGBT,Fantasy,Romance,Fantasy,Fantasy"
1045,Checkpoint,Nicholson Baker,3.64,38458,5207,small,new,2.89,small,"Fiction,Novels,Politics,Literary Fiction,Contemporary,Literature,Adult Fiction,The United States Of America"
1046,بريد الليل,Hoda Barakat,3.13,3731,839,small,new,3.03,medium,"Fiction,Cultural,Novels,Audiobook,War,Literary Fiction,Adult,Contemporary,Short Stories,Literature"
1047,"Carry On (Simon Snow, #1)",Rainbow Rowell,3.96,2767022,263017,medium,new,4.19,large,"Fantasy,Young Adult,LGBT,Romance,Fiction,LGBT,Fantasy,Paranormal,Audiobook,Young Adult"
1048,Civil War II: Gods of War,Dan Abnett,4.05,270625,17984,large,new,2.92,small,"Sequential Art,Superheroes,Sequential Art,Comics,Fiction,Fantasy,Comics"
1049,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,4.36,8085813,673367,medium,new,4.36,large,"Fantasy,Young Adult,Romance,Fantasy,Fiction,Young Adult,Fantasy,Fairies,New Adult,Adventure"
1050,David Copperfield (Paperback),Charles Dickens,3.91,3609551,121946,large,old,4.02,large,"Classics,Fiction,Literature,Historical,Literature,Novels,European Literature,Historical,Classics,Audiobook"
