,Description
484,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer380776787648175404"">Thirteen Chilling Nightmares Presented by the Master of Horror.<br/><br/>Try not to be noticed when you eat the secret nectar, otherwise you'll get <i>smashed</i>... What horrific events happened to create the <i>earthbound</i>-people tied to a certain place for the rest of their short lives? A strange haunted house comes to town, but no one expects it to lead to a real hell... Welcome to Junji I</span>
  <span id=""freeText380776787648175404"" style=""display:none"">Thirteen Chilling Nightmares Presented by the Master of Horror.<br/><br/>Try not to be noticed when you eat the secret nectar, otherwise you'll get <i>smashed</i>... What horrific events happened to create the <i>earthbound</i>-people tied to a certain place for the rest of their short lives? A strange haunted house comes to town, but no one expects it to lead to a real hell... Welcome to Junji Ito's world, a world with no escape from endless nightmares.</span>
  <a data-text-id=""380776787648175404"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
485,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer1065310571231257377"">This collection features tormented individuals who play out their doom in various odd little towns, as well as in dark sectors frequented by sinister and often blackly comical eccentrics. The cycle of narratives that includes the title work of this collection, for instance, introduces readers to a freakish community of artists who encounter demonic perils that ultimately e</span>
  <span id=""freeText1065310571231257377"" style=""display:none"">This collection features tormented individuals who play out their doom in various odd little towns, as well as in dark sectors frequented by sinister and often blackly comical eccentrics. The cycle of narratives that includes the title work of this collection, for instance, introduces readers to a freakish community of artists who encounter demonic perils that ultimately engulf their lives. These are selected examples of the forbidding array of persons and places that compose the mesmerizing fiction of Thomas Ligotti.</span>
  <a data-text-id=""1065310571231257377"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
486,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer9669813620322338139"">Imagine a world where you might disappear any minute, only to find yourself alone in a grey sickly land, with more horrors in it than you would ever wish to know about. And then you hear a horn and you know that whoever lives in this hell has got your scent and the hunt has already begun.<br/><br/>Could you survive the Call?</span>

      </div>"
487,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer3344153043520890153"">In the last volume we learned that no one is safe. Now, after the staggering losses they've sustained, Rick and Carl are left to pick up the pieces and carry on, knowing that they could join their fallen friends and family at any moment. <br/>This volume collects The Walking Dead issues #49-54.</span>
  <span id=""freeText3344153043520890153"" style=""display:none"">In the last volume we learned that no one is safe. Now, after the staggering losses they've sustained, Rick and Carl are left to pick up the pieces and carry on, knowing that they could join their fallen friends and family at any moment. <br/>This volume collects The Walking Dead issues #49-54.</span>
  <a data-text-id=""3344153043520890153"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
488,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer3447639322205299229"">Deep in the jungle of Peru, where so much remains unknown, a black, skittering mass devours an American tourist whole. Thousands of miles away, an FBI agent investigates a fatal plane crash in Minneapolis and makes a gruesome discovery. Unusual seismic patterns register in a Kanpur, India earthquake lab, confounding the scientists there. During the same week, the Chinese g</span>
  <span id=""freeText3447639322205299229"" style=""display:none"">Deep in the jungle of Peru, where so much remains unknown, a black, skittering mass devours an American tourist whole. Thousands of miles away, an FBI agent investigates a fatal plane crash in Minneapolis and makes a gruesome discovery. Unusual seismic patterns register in a Kanpur, India earthquake lab, confounding the scientists there. During the same week, the Chinese government “accidentally” drops a nuclear bomb in an isolated region of its own country. As these incidents begin to sweep the globe, a mysterious package from South America arrives at a Washington, D.C. laboratory. Something wants out.<br/><br/> The world is on the brink of an apocalyptic disaster. An ancient species, long dormant, is now very much awake.</span>
  <a data-text-id=""3447639322205299229"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
489,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer6610181613294905837"">Alexis thought she led a typically dysfunctional high school existence. Dysfunctional like her parents' marriage; her doll-crazy twelve-year-old sister, Kasey; and even her own anti-social, anti-cheerleader attitude. When a family fight results in some tearful sisterly bonding, Alexis realizes that her life is creeping from dysfunction into danger. Kasey is acting stranger</span>
  <span id=""freeText6610181613294905837"" style=""display:none"">Alexis thought she led a typically dysfunctional high school existence. Dysfunctional like her parents' marriage; her doll-crazy twelve-year-old sister, Kasey; and even her own anti-social, anti-cheerleader attitude. When a family fight results in some tearful sisterly bonding, Alexis realizes that her life is creeping from dysfunction into danger. Kasey is acting stranger than ever: her blue eyes go green sometimes; she uses old-fashioned language; and she even loses track of chunks of time, claiming to know nothing about her strange behavior. Their old house is changing, too. Doors open and close by themselves; water boils on the unlit stove; and an unplugged air conditioner turns the house cold enough to see their breath in.<br/><br/>Alexis wants to think that it's all in her head, but soon, what she liked to think of as silly parlor tricks are becoming life-threatening--to her, her family, and to her budding relationship with the class president. Alexis knows she's the only person who can stop Kasey -- but what if that green-eyed girl isn't even Kasey anymore?</span>
  <a data-text-id=""6610181613294905837"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
490,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer10864036858758276564"">There’s always been something a bit off about Perry Palomino. Though she’s been dealing with a quarter-life crisis and post-college syndrome like any other twenty-something, she’s still not what you would call “ordinary.” For one thing, there’s her past which she likes to pretend never happened, and then there’s the fact that she sees ghosts. <br/><br/>Luckily for her, that all come</span>
  <span id=""freeText10864036858758276564"" style=""display:none"">There’s always been something a bit off about Perry Palomino. Though she’s been dealing with a quarter-life crisis and post-college syndrome like any other twenty-something, she’s still not what you would call “ordinary.” For one thing, there’s her past which she likes to pretend never happened, and then there’s the fact that she sees ghosts. <br/><br/>Luckily for her, that all comes in handy when she stumbles across Dex Foray, an eccentric producer for an upcoming webcast on ghost hunters. Even though the show’s budget is non-existent and Dex himself is a maddening enigma, Perry is instantly drawn into a world that both threatens her life and seduces her with a sense of importance. <br/><br/>Her uncle’s haunted lighthouse provides the perfect catalyst and backdrop for a horrific mystery that unravels the threads of Perry’s fragile sanity and causes her to fall for a man, who, like the most dangerous of ghosts, may not be all that he seems.</span>
  <a data-text-id=""10864036858758276564"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
491,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer1771438795534675812""><div><b>This classic vampire story has inspired generations of authors, from Bram Stoker to Charlaine Harris.</b><br/><br/> A young English gentleman of means, Aubrey is immediately intrigued by Lord Ruthven, the mysterious newcomer among society’s elite. His unknown origin and curious behavior tantalizes Aubrey’s imagination. But the young man soon discovers a sinister character hidden behind </div></span>
  <span id=""freeText1771438795534675812"" style=""display:none""><div><b>This classic vampire story has inspired generations of authors, from Bram Stoker to Charlaine Harris.</b><br/><br/> A young English gentleman of means, Aubrey is immediately intrigued by Lord Ruthven, the mysterious newcomer among society’s elite. His unknown origin and curious behavior tantalizes Aubrey’s imagination. But the young man soon discovers a sinister character hidden behind his new friend’s glamorous facade.<br/>  <br/> When the two are set upon by bandits while traveling together in Europe, Ruthven is fatally injured. Before drawing his last breath, he makes the odd request that Aubrey keep his death and crimes secret for a year and a day. But when Ruthven resurfaces in London—making overtures toward Aubrey’s sister—Aubrey realizes this immortal fiend is a vampyre.<br/>  <br/> John William Polidori’s <i>The Vampyre</i> is both a classic tale of gothic horror and the progenitor of the modern romantic vampire myth that has been fodder for artists ranging from Anne Rice to Alan Ball to Francis Ford Coppola. Originally published in 1819, many decades before Bram Stoker’s <i>Dracula</i>, and misattributed to Polidori’s friend Lord Byron, <i>The Vampyre </i>has kept readers up at night for nearly two hundred years.<br/></div></span>
  <a data-text-id=""1771438795534675812"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
492,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer16211754609602051636""><b>We are not alone …</b><br/><br/>In a cave in the Himalayas, a guide discovers a self-mutilated body with the warning ""Satan exists"". <br/><br/>In the Kalahari Desert, a nun unearths evidence of a proto-human species and a deity called Older-than-Old. <br/><br/>In Bosnia, something has been feeding upon the dead in a mass grave. <br/><br/>So begins mankind’s most shocking realization: that the underworld is a vast ge</span>
  <span id=""freeText16211754609602051636"" style=""display:none""><b>We are not alone …</b><br/><br/>In a cave in the Himalayas, a guide discovers a self-mutilated body with the warning ""Satan exists"". <br/><br/>In the Kalahari Desert, a nun unearths evidence of a proto-human species and a deity called Older-than-Old. <br/><br/>In Bosnia, something has been feeding upon the dead in a mass grave. <br/><br/>So begins mankind’s most shocking realization: that the underworld is a vast geological labyrinth populated by another race of beings. Some call them ""devils"" or ""demons."" But they are real. They are down there. And they are waiting for us to find them… </span>
  <a data-text-id=""16211754609602051636"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
493,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer1108239544640863390"">The title story of this collection - a devilishly ironic riff on H. P. Lovecraft's ""Pickman's model"" - was nominated for a World Fantasy Award, while ""Proboscis"" was nominated for an International Horror Guild award and reprinted in The Year's Best Fantasy and Horror 19. In addition to his previously published work, this collection contains an original story.</span>
  <span id=""freeText1108239544640863390"" style=""display:none"">The title story of this collection - a devilishly ironic riff on H. P. Lovecraft's ""Pickman's model"" - was nominated for a World Fantasy Award, while ""Proboscis"" was nominated for an International Horror Guild award and reprinted in The Year's Best Fantasy and Horror 19. In addition to his previously published work, this collection contains an original story.</span>
  <a data-text-id=""1108239544640863390"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
494,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer9844166775892096649""><i>Lizzie Borden took an axe and gave her mother forty whacks; and when she saw what she had done, she gave her father forty-one....</i><br/>  <br/> The people of Fall River, Massachusetts, fear me. Perhaps rightfully so. I remain a suspect in the brutal deaths of my father and his second wife despite the verdict of innocence at my trial. With our inheritance, my sister, Emma, and I have t</span>
  <span id=""freeText9844166775892096649"" style=""display:none""><i>Lizzie Borden took an axe and gave her mother forty whacks; and when she saw what she had done, she gave her father forty-one....</i><br/>  <br/> The people of Fall River, Massachusetts, fear me. Perhaps rightfully so. I remain a suspect in the brutal deaths of my father and his second wife despite the verdict of innocence at my trial. With our inheritance, my sister, Emma, and I have taken up residence in Maplecroft, a mansion near the sea and far from gossip and scrutiny.<br/>  <br/> But it is not far enough from the affliction that possessed my parents. Their characters, their very <i>souls</i>, were consumed from within by something that left malevolent entities in their place. It originates from the ocean’s depths, plaguing the populace with tides of nightmares and madness.<br/>  <br/> This evil cannot hide from me. No matter what guise it assumes, I will be waiting for it. With an axe.<br/>  </span>
  <a data-text-id=""9844166775892096649"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
495,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer7669529062637307045""><b>The first novel in a chilling new series by Darren Shan, author of the New York Times bestselling Cirque Du Freak series, will keep readers turning page after horrifying page.</b><br/><br/> Grubbs Grady has stiff red hair and is a little big for his age, which means he can get into R-rated movies. He hates history and loves bacon, rats, and playing tricks on his squeamish older sister. </span>
  <span id=""freeText7669529062637307045"" style=""display:none""><b>The first novel in a chilling new series by Darren Shan, author of the New York Times bestselling Cirque Du Freak series, will keep readers turning page after horrifying page.</b><br/><br/> Grubbs Grady has stiff red hair and is a little big for his age, which means he can get into R-rated movies. He hates history and loves bacon, rats, and playing tricks on his squeamish older sister. When he opts out of a family weekend trip, he never guesses that he is about to take a terrifying journey into darkness. Hungry demons and howling werewolves haunt his waking nightmares... and threaten his life.</span>
  <a data-text-id=""7669529062637307045"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
496,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer10353586903990112882"">A cleverly voiced psychological thriller about an unforgettable—and unsettling—friendship, with blood-chilling twists, crackling wit, and a thrumming pulse in its veins, from the nationally bestselling author of <em>The Cabin at the End of the World </em>and <em>Survivor Song</em>.<br/><br/>What if the coolest girl you've ever met decided to be your friend?<br/><br/>Art Barbara was so not cool. He was a sevent</span>
  <span id=""freeText10353586903990112882"" style=""display:none"">A cleverly voiced psychological thriller about an unforgettable—and unsettling—friendship, with blood-chilling twists, crackling wit, and a thrumming pulse in its veins, from the nationally bestselling author of <em>The Cabin at the End of the World </em>and <em>Survivor Song</em>.<br/><br/>What if the coolest girl you've ever met decided to be your friend?<br/><br/>Art Barbara was so not cool. He was a seventeen-year-old high school loner in the late 1980s who listened to hair metal, had to wear a monstrous back-brace at night for his scoliosis, and started an extracurricular club for volunteer pallbearers at poorly attended funerals. But his new friend thought the Pallbearers Club was cool. And she brought along her Polaroid camera to take pictures of the corpses.<br/><br/>Okay, that part was a little weird.<br/><br/>So was her obsessive knowledge of a notorious bit of New England folklore that involved digging up the dead. And there were other strange things—terrifying things—that happened when she was around, usually at night. But she was his friend, so it was okay, right?<br/><br/>Decades later, Art tries to make sense of it all by writing <em>The Pallbearers Club: A Memoir</em>. But somehow this friend got her hands on the manuscript and, well, she has some issues with it. And now she's making cuts.<br/><br/>Seamlessly blurring the lines between fiction and memory, the supernatural and the mundane, <em>The Pallbearers Club </em>is an immersive, suspenseful portrait of an unusual and disconcerting relationship.</span>
  <a data-text-id=""10353586903990112882"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
497,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer10433266385205380664"">Music City Salvage is a family operation, owned and operated by Chuck Dutton: master stripper of doomed historic properties, and expert seller of all things old and crusty. But business is lean and times are tight, so he’s thrilled when the aged and esteemed Augusta Withrow appears in his office, bearing an offer he really ought to refuse. She has a massive family estate t</span>
  <span id=""freeText10433266385205380664"" style=""display:none"">Music City Salvage is a family operation, owned and operated by Chuck Dutton: master stripper of doomed historic properties, and expert seller of all things old and crusty. But business is lean and times are tight, so he’s thrilled when the aged and esteemed Augusta Withrow appears in his office, bearing an offer he really ought to refuse. She has a massive family estate to unload - lock, stock, and barrel. For a check and a handshake, it’s all his.<br/><br/>It’s a big check. It’s a firm handshake. And it’s enough of a gold mine that he assigns his daughter Dahlia to personally oversee the project.<br/><br/>Dahlia preps a couple of trucks, takes a small crew, and they caravan down to Chattanooga, Tennessee, where the ancient Withrow house is waiting - and so is a barn, a carriage house, and a small, overgrown cemetery that Augusta Withrow left out of the paperwork.<br/><br/>Augusta Withrow left out a lot of things.<br/><br/>The property is in unusually great shape for a condemned building. It’s empty, but it isn't abandoned. Something in the Withrow mansion is angry and lost. This is its last chance to raise hell before the house is gone forever, and there's still plenty of room in the strange little family plot.<br/><br/>New from Cherie Priest, a modern master of supernatural fiction, <i>The Family Plot</i> is a haunted house story for the ages - atmospheric, scary, and strange, with a modern gothic sensibility that every bit as fresh as it is frightening.</span>
  <a data-text-id=""10433266385205380664"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
498,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer4945436717192324117""><b>From the national bestselling author of <i>Alice</i> comes a familiar story with a dark hook—a tale about Peter Pan and the friend who became his nemesis, a nemesis who may not be the blackhearted villain Peter says he is…</b><br/><br/>There is one version of my story that everyone knows. And then there is the truth. This is how it happened. How I went from being Peter Pan’s first—and favorite</span>
  <span id=""freeText4945436717192324117"" style=""display:none""><b>From the national bestselling author of <i>Alice</i> comes a familiar story with a dark hook—a tale about Peter Pan and the friend who became his nemesis, a nemesis who may not be the blackhearted villain Peter says he is…</b><br/><br/>There is one version of my story that everyone knows. And then there is the truth. This is how it happened. How I went from being Peter Pan’s first—and favorite—lost boy to his greatest enemy.<br/> <br/>Peter brought me to his island because there were no rules and no grownups to make us mind. He brought boys from the Other Place to join in the fun, but Peter's idea of fun is sharper than a pirate’s sword. Because it’s never been all fun and games on the island. Our neighbors are pirates and monsters. Our toys are knife and stick and rock—the kinds of playthings that bite.<br/><br/>Peter promised we would all be young and happy forever. Peter lies.</span>
  <a data-text-id=""4945436717192324117"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
499,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer10778046194228823394"">About three things I was absolutely positive.<br/><br/>First, Edward was a vampire.<br/><br/>Second, there was a part of him—and I didn't know how dominant that part might be—that thirsted for my blood.<br/><br/>And third, I was unconditionally and irrevocably in love with him.<br/><br/>Deeply seductive and extraordinarily suspenseful, Twilight is a love story with bite.</span>
  <span id=""freeText10778046194228823394"" style=""display:none"">About three things I was absolutely positive.<br/><br/>First, Edward was a vampire.<br/><br/>Second, there was a part of him—and I didn't know how dominant that part might be—that thirsted for my blood.<br/><br/>And third, I was unconditionally and irrevocably in love with him.<br/><br/>Deeply seductive and extraordinarily suspenseful, Twilight is a love story with bite.</span>
  <a data-text-id=""10778046194228823394"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
500,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer17228675128556830183"">Documentary-maker Aoyama hasn't dated anyone in the seven years since the death of his beloved wife, Ryoko. Now even his teenage son Shige has suggested he think about remarrying. So when his best friend Yoshikawa comes up with a plan to hold fake film auditions so that Aoyama can choose a new bride, he decides to go along with the idea</span>
  <span id=""freeText17228675128556830183"" style=""display:none"">Documentary-maker Aoyama hasn't dated anyone in the seven years since the death of his beloved wife, Ryoko. Now even his teenage son Shige has suggested he think about remarrying. So when his best friend Yoshikawa comes up with a plan to hold fake film auditions so that Aoyama can choose a new bride, he decides to go along with the idea</span>
  <a data-text-id=""17228675128556830183"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
501,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer2450940835121323554"">Dr. Brewer is doing a little plant-testing in his basement. Nothing to worry about. Harmless, he says. But Margaret and Casey Brewer are worried about their father. Especially when they...meet...some of the plants he is growing down there. Then they notice that their father is developing plant like tendencies. In fact, he is becoming distinctly weedy-and seedy. Is it just </span>
  <span id=""freeText2450940835121323554"" style=""display:none"">Dr. Brewer is doing a little plant-testing in his basement. Nothing to worry about. Harmless, he says. But Margaret and Casey Brewer are worried about their father. Especially when they...meet...some of the plants he is growing down there. Then they notice that their father is developing plant like tendencies. In fact, he is becoming distinctly weedy-and seedy. Is it just part of Dr. Brewer's 'harmless' experiment? Or does Dad have more than just a green thumb...?</span>
  <a data-text-id=""2450940835121323554"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
502,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer11880288028791125860"">Super fans. Groupies. Stalkers.<br/><br/>These people will give anything for the idols they worship, be they rock stars, actors or authors. Or even serial killers.<br/><br/>Lori is just such a fanatic. Her obsession is with Edmund Cox, a man of sadistic cruelty who butchered more than twenty women. She’s gone so far as to forge a relationship with him, visiting him in prison and sending him l</span>
  <span id=""freeText11880288028791125860"" style=""display:none"">Super fans. Groupies. Stalkers.<br/><br/>These people will give anything for the idols they worship, be they rock stars, actors or authors. Or even serial killers.<br/><br/>Lori is just such a fanatic. Her obsession is with Edmund Cox, a man of sadistic cruelty who butchered more than twenty women. She’s gone so far as to forge a relationship with him, visiting him in prison and sending him letters on a regular basis. She will do anything to get close to him, so when he gives her a task, she eagerly accepts it.<br/><br/>She has no idea of the horror that awaits her.<br/><br/>Edmund tells her she must go to his cabin in the woods of Killen and retrieve a key to deliver to a mysterious figure known only as The River Man.<br/><br/>In her quest, she brings along her handicapped sister, and they journey through the deep, dark valley, beginning their trip upriver. The trip quickly becomes a surreal nightmare, one that digs up Lori’s personal demons, the ones she feels bonds her to Edmund. The river runs with flesh, the cabin is a vault of horrors, and ghostly blues music echoes through the mountains. Soon they will learn that The River Man is not quite fact or folklore, and definitely not human -- at least, not anymore. And the key is just the beginning of what is required of Lori to prove she’s worthy of a madman’s love.</span>
  <a data-text-id=""11880288028791125860"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
503,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer12324580704245678669"">Face to Face with a Nightmare...<br/><br/>How ugly is Carly Beth's Halloween mask? It's so ugly that it almost scared her little brother to death. So terrifying that even her friends are totally freaked out by it. It's the best Halloween mask ever. It's everything Carly Beth hoped it would be. And more. Maybe too much more. Because Halloween is almost over. And Carly Beth is still w</span>
  <span id=""freeText12324580704245678669"" style=""display:none"">Face to Face with a Nightmare...<br/><br/>How ugly is Carly Beth's Halloween mask? It's so ugly that it almost scared her little brother to death. So terrifying that even her friends are totally freaked out by it. It's the best Halloween mask ever. It's everything Carly Beth hoped it would be. And more. Maybe too much more. Because Halloween is almost over. And Carly Beth is still wearing that special mask...</span>
  <a data-text-id=""12324580704245678669"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
504,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer8176418463844724905"">When the White family comes into the possession of a monkey’s paw that magically grant wishes, they do what many people would do—they succumb to vanity and wish for the unneeded. But every wish has a consequence, and the White family finds they are completely unprepared for what comes next. <i>The Monkey’s Paw</i> is a classic horror tale that gives new meaning to the phrase <i>“be </i></span>
  <span id=""freeText8176418463844724905"" style=""display:none"">When the White family comes into the possession of a monkey’s paw that magically grant wishes, they do what many people would do—they succumb to vanity and wish for the unneeded. But every wish has a consequence, and the White family finds they are completely unprepared for what comes next. <i>The Monkey’s Paw</i> is a classic horror tale that gives new meaning to the phrase <i>“be careful what you wish for.”</i><br/><br/>One of <a href=""https://www.goodreads.com/author/show/57721.W_W__Jacob_s"" title=""W.W. Jacob's"">W.W. Jacob's</a> most memorable works, <i>The Monkey’s Paw</i> has become a classic horror story and has been adapted numerous times, including into episodes of such popular television series as <i>The X-Files, The Twilight Zone, Buffy the Vampire Slayer, The Simpsons: Treehouse of Horror, Are You Afraid of the Dark?,</i> and <i>Tales from the Crypt.</i></span>
  <a data-text-id=""8176418463844724905"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
505,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer2706408506077112389""><em>Not all secrets are meant to be found.</em><br/><br/>If Indiana Jones lived in the X-Files era, he might bear at least a passing resemblance to Nolan Moore -- a rogue archaeologist hosting a documentary series derisively dismissed by the ""real"" experts, but beloved of conspiracy theorists.<br/><br/>Nolan sets out to retrace the steps of an explorer from 1909 who claimed to have discovered a myster</span>
  <span id=""freeText2706408506077112389"" style=""display:none""><em>Not all secrets are meant to be found.</em><br/><br/>If Indiana Jones lived in the X-Files era, he might bear at least a passing resemblance to Nolan Moore -- a rogue archaeologist hosting a documentary series derisively dismissed by the ""real"" experts, but beloved of conspiracy theorists.<br/><br/>Nolan sets out to retrace the steps of an explorer from 1909 who claimed to have discovered a mysterious cavern high up in the ancient rock of the Grand Canyon. And, for once, he may have actually found what he seeks. Then the trip takes a nasty turn, and the cave begins turning against them in mysterious ways.<br/><br/>Nolan's story becomes one of survival against seemingly impossible odds. The only way out is to answer a series of intriguing questions: What is this strange cave? How has it remained hidden for so long? And what secret does it conceal that made its last visitors attempt to seal it forever?</span>
  <a data-text-id=""2706408506077112389"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
506,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer976759089460704284"">Out on their own, danger lurking around every corner, our ragged band of survivors tries to live long enough to reach Washington, D.C... but at what cost?<br/><br/>Collects issues #55-60.</span>

      </div>"
507,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer2253180979526194671"">Sarah Crowe left Atlanta--and the remnants of a tumultuous relationship--to live in an old house in rural Rhode Island. Within its walls she discovers an unfinished manuscript written by the house's former tenant--an anthropologist obsessed with the ancient oak growing on a desolate corner of the property.<br/><br/>Tied to local legends of supernatural magic, as well as documented a</span>
  <span id=""freeText2253180979526194671"" style=""display:none"">Sarah Crowe left Atlanta--and the remnants of a tumultuous relationship--to live in an old house in rural Rhode Island. Within its walls she discovers an unfinished manuscript written by the house's former tenant--an anthropologist obsessed with the ancient oak growing on a desolate corner of the property.<br/><br/>Tied to local legends of supernatural magic, as well as documented accidents and murders, the gnarled tree takes root in Sarah's imagination, prompting her to write her own account of its unsavory history.<br/><br/>And as the oak continues to possess her dreams and nearly almost all her waking thoughts, Sarah risks her health and her sanity to unearth a revelation planted centuries ago...</span>
  <a data-text-id=""2253180979526194671"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
508,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer14667383056754359402"">In 1986, Eddie and his friends are just kids on the verge of adolescence. They spend their days biking around their sleepy English village and looking for any taste of excitement they can get. The chalk men are their secret code: little chalk stick figures they leave for one another as messages only they can understand. But then a mysterious chalk man leads them right to a</span>
  <span id=""freeText14667383056754359402"" style=""display:none"">In 1986, Eddie and his friends are just kids on the verge of adolescence. They spend their days biking around their sleepy English village and looking for any taste of excitement they can get. The chalk men are their secret code: little chalk stick figures they leave for one another as messages only they can understand. But then a mysterious chalk man leads them right to a dismembered body, and nothing is ever the same.<br/><br/>In 2016, Eddie is fully grown, and thinks he's put his past behind him. But then he gets a letter in the mail, containing a single chalk stick figure. When it turns out that his friends got the same message, they think it could be a prank . . . until one of them turns up dead.<br/><br/>That's when Eddie realizes that saving himself means finally figuring out what really happened all those years ago.</span>
  <a data-text-id=""14667383056754359402"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
509,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer15843678370125364458"">Dean Koontz's unique talent for writing terrifying thrillers with a heart and soul is nowhere more evident than in this latest suspense masterpiece that pits one man against the ultimate deadline. If there were speed limits for the sheer pulse-racing excitement allowed in one novel, ""Velocity"" would break them all. Get ready for the ride of your life. <br/><br/>Bill Wiles is an easy</span>
  <span id=""freeText15843678370125364458"" style=""display:none"">Dean Koontz's unique talent for writing terrifying thrillers with a heart and soul is nowhere more evident than in this latest suspense masterpiece that pits one man against the ultimate deadline. If there were speed limits for the sheer pulse-racing excitement allowed in one novel, ""Velocity"" would break them all. Get ready for the ride of your life. <br/><br/>Bill Wiles is an easygoing, hardworking guy who leads a quiet, ordinary life. But that is about to change. One evening, after his usual eight-hour bartending shift, he finds a typewritten note under the windshield wiper of his car. <br/><br/><blockquote>
  <i>""If you don't take this note to the police and get them involved, I will kill a lovely blond schoolteacher. If you do take this note to the police, I will instead kill an elderly woman active in charity work. You have four hours to decide. The choice is yours.""</i>
</blockquote><br/><br/>It seems like a sick joke, and Bill's friend on the police force, Lanny Olson, thinks so too. His advice to Bill is to go home and forget about it. Besides, what could they do even if they took the note seriously? No crime has actually been committed. But less than twenty-four hours later, a young blond schoolteacher is found murdered, and it's Bill's fault: he didn't convince the police to get involved. Now he's got another note, another deadline, another ultimatum...and two new lives hanging in the balance. <br/><br/>Suddenly Bill's average, seemingly innocuous life takes on the dimensions and speed of an accelerating nightmare. Because the notes are coming faster, the deadlines growing tighter, and the killer becoming bolder and crueler with every communication--until Bill is isolated with the terrifying knowledge that he alone has the power of life and death over a psychopath's innocent victims. Until the struggle between good and evil is intensely personal. Until the most chilling words of all are: <i>""The choice is yours.""</i></span>
  <a data-text-id=""15843678370125364458"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
